"",BBFB1.Q.N.DE.CZ.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CZ.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / Czech Republic,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:49,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-,Nothing exists
1992-07,-,Nothing exists
1992-10,-,Nothing exists
1993-01,16.723,
1993-04,28.446,
1993-07,25.254,
1993-10,28.401,
1994-01,30.179,
1994-04,26.722,
1994-07,36.232,
1994-10,31.912,
1995-01,41.729,
1995-04,25.511,
1995-07,25.274,
1995-10,27.758,
1996-01,34.518,
1996-04,22.091,
1996-07,34.381,
1996-10,23.712,
1997-01,34.918,
1997-04,28.625,
1997-07,27.855,
1997-10,33.222,
1998-01,26.940,
1998-04,32.445,
1998-07,37.475,
1998-10,30.947,
1999-01,38.403,
1999-04,26.187,
1999-07,36.334,
1999-10,27.618,
2000-01,35.468,
2000-04,24.232,
2000-07,39.704,
2000-10,24.098,
2001-01,78.820,
2001-04,50.373,
2001-07,93.248,
2001-10,54.146,
2002-01,28.158,
2002-04,40.650,
2002-07,36.448,
2002-10,45.796,
2003-01,24.462,
2003-04,34.258,
2003-07,31.381,
2003-10,53.152,
2004-01,27.400,
2004-04,24.641,
2004-07,28.288,
2004-10,25.848,
2005-01,14.330,
2005-04,20.658,
2005-07,26.149,
2005-10,18.666,
2006-01,17.405,
2006-04,24.872,
2006-07,23.609,
2006-10,19.180,
2007-01,19.127,
2007-04,26.552,
2007-07,38.720,
2007-10,25.469,
2008-01,33.293,
2008-04,27.457,
2008-07,23.187,
2008-10,35.329,
2009-01,28.629,
2009-04,25.331,
2009-07,23.734,
2009-10,32.806,
2010-01,34.266,
2010-04,74.284,
2010-07,60.429,
2010-10,60.654,
2011-01,40.245,
2011-04,32.565,
2011-07,38.510,
2011-10,33.693,
2012-01,34.697,
2012-04,37.280,
2012-07,39.174,
2012-10,40.232,
2013-01,35.177,
2013-04,44.235,
2013-07,28.086,
2013-10,25.541,
2014-01,22.383,Provisional value
2014-04,31.446,Provisional value
2014-07,27.687,Provisional value
