"",BBFB1.Q.N.DE.PL.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.PL.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Poland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:22,
1991-01,17.048,
1991-04,41.900,
1991-07,35.572,
1991-10,21.589,
1992-01,28.701,
1992-04,73.399,
1992-07,59.712,
1992-10,36.464,
1993-01,40.084,
1993-04,82.113,
1993-07,79.623,
1993-10,69.855,
1994-01,28.223,
1994-04,79.775,
1994-07,93.037,
1994-10,78.078,
1995-01,33.547,
1995-04,108.003,
1995-07,129.045,
1995-10,118.480,
1996-01,46.835,
1996-04,142.182,
1996-07,158.946,
1996-10,97.838,
1997-01,49.109,
1997-04,147.398,
1997-07,199.414,
1997-10,150.792,
1998-01,40.505,
1998-04,147.151,
1998-07,214.232,
1998-10,139.532,
1999-01,40.830,
1999-04,140.701,
1999-07,228.186,
1999-10,187.300,
2000-01,78.044,
2000-04,177.279,
2000-07,361.798,
2000-10,154.026,
2001-01,92.583,
2001-04,236.398,
2001-07,276.240,
2001-10,172.948,
2002-01,74.062,
2002-04,285.700,
2002-07,307.358,
2002-10,172.593,
2003-01,50.516,
2003-04,289.052,
2003-07,315.036,
2003-10,200.693,
2004-01,74.824,
2004-04,320.564,
2004-07,343.443,
2004-10,211.028,
2005-01,76.060,
2005-04,334.971,
2005-07,415.277,
2005-10,189.537,
2006-01,73.586,
2006-04,294.828,
2006-07,338.935,
2006-10,191.994,
2007-01,77.142,
2007-04,252.137,
2007-07,371.408,
2007-10,197.012,
2008-01,70.925,
2008-04,229.747,
2008-07,324.924,
2008-10,174.565,
2009-01,75.352,
2009-04,227.826,
2009-07,348.302,
2009-10,172.132,
2010-01,83.479,
2010-04,229.426,
2010-07,327.062,
2010-10,167.827,
2011-01,79.036,
2011-04,231.098,
2011-07,362.569,
2011-10,204.514,
2012-01,97.762,
2012-04,242.335,
2012-07,372.953,
2012-10,223.960,
2013-01,111.432,
2013-04,265.717,
2013-07,398.437,
2013-10,248.011,
2014-01,124.016,Provisional value
2014-04,279.080,Provisional value
2014-07,405.596,Provisional value
