"",BBK01.OEAE10T,BBK01.OEAE10T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:05,
2002-01,0.521,
2002-04,0.506,
2002-07,0.554,
2002-10,0.564,
2003-01,0.562,
2003-04,0.549,
2003-07,0.572,
2003-10,0.522,
2004-01,0.491,
2004-04,0.491,
2004-07,0.435,
2004-10,0.449,
2005-01,0.414,
2005-04,0.408,
2005-07,0.391,
2005-10,0.365,
2006-01,0.349,
2006-04,0.347,
2006-07,0.341,
2006-10,0.351,
2007-01,0.333,
2007-04,0.322,
2007-07,0.319,
2007-10,0.332,
2008-01,0.328,
2008-04,0.335,
2008-07,0.326,
2008-10,0.269,
2009-01,0.271,
2009-04,0.246,
2009-07,0.251,
2009-10,0.228,
2010-01,0.298,
2010-04,0.329,
2010-07,0.249,
2010-10,0.273,
2011-01,0.270,
2011-04,0.269,
2011-07,0.255,
2011-10,0.286,
2012-01,0.227,
2012-04,0.263,
2012-07,0.305,
2012-10,0.309,
2013-01,0.300,
2013-04,0.490,
2013-07,0.433,
2013-10,0.381,
2014-01,0.362,
2014-04,0.324,
2014-07,0.372,
