"",BBK01.OECB20O,BBK01.OECB20O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:06,
2002-01,1.578,
2002-04,1.578,
2002-07,1.572,
2002-10,1.555,
2003-01,1.538,
2003-04,1.533,
2003-07,1.540,
2003-10,1.525,
2004-01,1.516,
2004-04,1.514,
2004-07,1.521,
2004-10,1.511,
2005-01,2.105,
2005-04,2.145,
2005-07,2.197,
2005-10,2.249,
2006-01,2.298,
2006-04,2.325,
2006-07,2.354,
2006-10,2.403,
2007-01,2.417,
2007-04,2.575,
2007-07,2.598,
2007-10,2.597,
2008-01,2.602,
2008-04,2.618,
2008-07,2.650,
2008-10,2.651,
2009-01,2.660,
2009-04,3.436,
2009-07,3.428,
2009-10,3.417,
2010-01,3.413,
2010-04,3.419,
2010-07,3.548,
2010-10,3.432,
2011-01,3.362,
2011-04,3.328,
2011-07,3.300,
2011-10,3.280,
2012-01,3.270,
2012-04,3.267,
2012-07,3.267,
2012-10,3.262,
2013-01,3.278,
2013-04,3.293,
2013-07,3.314,
2013-10,3.316,
2014-01,3.303,
2014-04,3.315,
2014-07,3.336,
