"",BBFB1.M.N.DE.W1.S12T.S1.T.A.FA.P.F._Z._T._X.N,BBFB1.M.N.DE.W1.S12T.S1.T.A.FA.P.F._Z._T._X.N_FLAGS
2010-09,-1942.865,
2010-10,-2637.136,
2010-11,-3588.489,
2010-12,-10441.345,
2011-01,6190.792,
2011-02,-2526.429,
2011-03,-4121.377,
2011-04,292.636,
2011-05,7871.785,
2011-06,-5804.486,
2011-07,-9830.504,
2011-08,-4852.685,
2011-09,-10024.849,
2011-10,-4889.923,
2011-11,-10131.139,
2011-12,-1069.940,
2012-01,717.559,
2012-02,-5855.145,
2012-03,3037.595,
2012-04,-7988.877,
2012-05,-812.983,
2012-06,-8594.250,
2012-07,-5237.445,
2012-08,1715.253,
2012-09,545.072,
2012-10,1694.712,
2012-11,-118.316,
2012-12,5902.889,
2013-01,6037.766,
2013-02,-6074.219,
2013-03,1894.849,
2013-04,-300.835,
2013-05,9817.126,
2013-06,-607.216,
2013-07,4445.490,
2013-08,190.902,
2013-09,-2791.607,
2013-10,-2291.793,
2013-11,7489.333,
2013-12,-3948.354,
2014-01,2742.893,
2014-02,-5123.014,Provisional value
2014-03,9354.117,Provisional value
2014-04,-2986.233,Provisional value
2014-05,3120.193,Provisional value
2014-06,4766.794,Provisional value
2014-07,253.380,Provisional value
2014-08,-2787.194,Provisional value
2014-09,7750.456,
2014-10,-4495.543,
2014-11,9237.806,
2014-12,201.494,Provisional value
