"",BBK01.RJ2015,BBK01.RJ2015_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-04-30 10:22:19,
1989,-,Nothing exists
1990,-,Nothing exists
1991,-,Nothing exists
1992,.,No value available
1993,.,No value available
1994,.,No value available
1995,.,No value available
1996,.,No value available
1997,.,No value available
1998,.,No value available
1999,-,Nothing exists
2000,-,Nothing exists
2001,.,No value available
2002,-,Nothing exists
2003,.,No value available
2004,.,No value available
2005,.,No value available
2006,31,
2007,.,No value available
2008,.,No value available
2009,.,No value available
2010,.,No value available
2011,.,No value available
2012,.,No value available
