"",BBSF2.M.1.P.00000.DAC01.I.F.AKT.DE.00000.000000.Z01.00,BBSF2.M.1.P.00000.DAC01.I.F.AKT.DE.00000.000000.Z01.00_FLAGS
"",Public funds / Funds-of-funds / Shares / Germany,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:29,
1999-01,-,Nothing exists
1999-02,-,Nothing exists
1999-03,-,Nothing exists
1999-04,-,Nothing exists
1999-05,-,Nothing exists
1999-06,-,Nothing exists
1999-07,-,Nothing exists
1999-08,-,Nothing exists
1999-09,23,
1999-10,32,
1999-11,40,
1999-12,55,
2000-01,-,Nothing exists
2000-02,-,Nothing exists
2000-03,-,Nothing exists
2000-04,-,Nothing exists
2000-05,-,Nothing exists
2000-06,-,Nothing exists
2000-07,-,Nothing exists
2000-08,1,
2000-09,1,
2000-10,8,
2000-11,7,
2000-12,7,
2001-01,8,
2001-02,7,
2001-03,7,
2001-04,8,
2001-05,8,
2001-06,9,
2001-07,10,
2001-08,7,
2001-09,6,
2001-10,7,
2001-11,8,
2001-12,8,
2002-01,11,
2002-02,11,
2002-03,12,
2002-04,11,
2002-05,10,
2002-06,10,
2002-07,10,
2002-08,12,
2002-09,10,
2002-10,10,
2002-11,10,
2002-12,9,
2003-01,7,
2003-02,8,
2003-03,7,
2003-04,7,
2003-05,7,
2003-06,7,
2003-07,7,
2003-08,6,
2003-09,6,
2003-10,6,
2003-11,6,
2003-12,6,
2004-01,7,
2004-02,6,
2004-03,6,
2004-04,6,
2004-05,6,
2004-06,6,
2004-07,6,
2004-08,6,
2004-09,6,
2004-10,6,
2004-11,7,
2004-12,7,
2005-01,6,
2005-02,7,
2005-03,7,
2005-04,6,
2005-05,7,
2005-06,7,
2005-07,7,
2005-08,7,
2005-09,7,
2005-10,7,
2005-11,8,
2005-12,8,
2006-01,8,
2006-02,8,
2006-03,0,
2006-04,0,
2006-05,0,
2006-06,0,
2006-07,0,
2006-08,0,
2006-09,0,
2006-10,0,
2006-11,0,
2006-12,0,
2007-01,0,
2007-02,4,
2007-03,5,
2007-04,5,
2007-05,6,
2007-06,6,
2007-07,7,
2007-08,11,
2007-09,15,
2007-10,47,
2007-11,58,
2007-12,61,
2008-01,73,
2008-02,79,
2008-03,83,
2008-04,81,
2008-05,91,
2008-06,90,
2008-07,91,
2008-08,94,
2008-09,82,
2008-10,70,
2008-11,68,
2008-12,73,
2009-01,71,
2009-02,54,
2009-03,54,
2009-04,64,
2009-05,60,
2009-06,59,
2009-07,62,
2009-08,65,
2009-09,64,
2009-10,26,
2009-11,30,
2009-12,32,
2010-01,29,
2010-02,31,
2010-03,36,
2010-04,37,
2010-05,38,
2010-06,39,
2010-07,41,
2010-08,39,
2010-09,42,
2010-10,47,
2010-11,47,
2010-12,47,
2011-01,45,
2011-02,47,
2011-03,47,
2011-04,50,
2011-05,49,
2011-06,51,
2011-07,61,
2011-08,38,
2011-09,38,
2011-10,36,
2011-11,34,
2011-12,34,
2012-01,39,
2012-02,51,
2012-03,62,
2012-04,70,
2012-05,68,
2012-06,70,
2012-07,78,
2012-08,80,
2012-09,87,
2012-10,90,
2012-11,92,
2012-12,98,
2013-01,101,
2013-02,100,
2013-03,104,
2013-04,107,
2013-05,107,
2013-06,98,
2013-07,102,
2013-08,97,
2013-09,102,
2013-10,107,
2013-11,110,
2013-12,112,
2014-01,104,
2014-02,107,
2014-03,107,
2014-04,97,
2014-05,104,
2014-06,99,
2014-07,96,
2014-08,95,
2014-09,98,
2014-10,88,
2014-11,88,
