"",BBK01.OEAB04S,BBK01.OEAB04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:29,
2002-01,20.348,
2002-04,20.322,
2002-07,20.322,
2002-10,20.448,
2003-01,20.373,
2003-04,20.504,
2003-07,20.656,
2003-10,20.923,
2004-01,20.693,
2004-04,20.711,
2004-07,20.788,
2004-10,19.356,
2005-01,20.381,
2005-04,20.474,
2005-07,20.443,
2005-10,20.356,
2006-01,20.335,
2006-04,20.431,
2006-07,20.596,
2006-10,20.689,
2007-01,20.763,
2007-04,20.897,
2007-07,21.071,
2007-10,21.142,
2008-01,21.118,
2008-04,21.364,
2008-07,21.682,
2008-10,21.733,
2009-01,21.783,
2009-04,22.580,
2009-07,22.783,
2009-10,23.009,
2010-01,23.156,
2010-04,23.640,
2010-07,23.922,
2010-10,24.202,
2011-01,24.502,
2011-04,24.863,
2011-07,25.181,
2011-10,25.795,
2012-01,25.993,
2012-04,26.842,
2012-07,27.186,
2012-10,27.580,
2013-01,27.736,
2013-04,27.905,
2013-07,28.240,
2013-10,28.510,
2014-01,28.539,
2014-04,28.695,
2014-07,29.064,
