"",BBK01.CELC051,BBK01.CELC051_FLAGS
"",Financial derivatives debtor: Total                                                   creditor: OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:26,
1999-01,0.1,
1999-04,0.1,
1999-07,0.0,
1999-10,0.0,
2000-01,0.0,
2000-04,0.0,
2000-07,0.1,
2000-10,0.1,
2001-01,0.1,
2001-04,0.1,
2001-07,0.1,
2001-10,0.1,
2002-01,0.1,
2002-04,3.8,
2002-07,-3.9,
2002-10,0.7,
2003-01,-1.3,
2003-04,3.0,
2003-07,1.4,
2003-10,2.2,
2004-01,-1.2,
2004-04,6.5,
2004-07,-4.8,
2004-10,-0.7,
2005-01,3.6,
2005-04,11.1,
2005-07,2.1,
2005-10,4.1,
2006-01,12.1,
2006-04,2.1,
2006-07,12.5,
2006-10,1.3,
2007-01,-1.7,
2007-04,2.7,
2007-07,-5.4,
2007-10,-3.5,
2008-01,-4.3,
2008-04,-2.0,
2008-07,4.0,
2008-10,-7.5,
2009-01,40.8,
2009-04,-38.3,
2009-07,2.3,
2009-10,-10.8,
2010-01,-1.3,
2010-04,8.7,
2010-07,-0.4,
2010-10,-10.6,
2011-01,-1.6,
2011-04,-2.0,
2011-07,6.5,
2011-10,1.5,
2012-01,-21.9,
2012-04,5.2,
2012-07,3.0,
2012-10,45.0,
2013-01,5.8,
2013-04,-0.2,
2013-07,-3.2,
2013-10,0.5,
2014-01,3.8,
2014-04,-3.3,
2014-07,0.6,
