"",BBK01.OEAE05I,BBK01.OEAE05I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:19,
2002-01,0.855,
2002-04,0.822,
2002-07,0.816,
2002-10,0.774,
2003-01,0.765,
2003-04,0.756,
2003-07,0.736,
2003-10,0.664,
2004-01,0.629,
2004-04,0.657,
2004-07,0.676,
2004-10,0.583,
2005-01,0.579,
2005-04,0.568,
2005-07,0.496,
2005-10,0.489,
2006-01,0.503,
2006-04,0.471,
2006-07,0.472,
2006-10,0.481,
2007-01,0.484,
2007-04,0.437,
2007-07,0.429,
2007-10,0.419,
2008-01,0.421,
2008-04,0.463,
2008-07,0.479,
2008-10,0.476,
2009-01,0.513,
2009-04,0.521,
2009-07,0.506,
2009-10,0.497,
2010-01,0.567,
2010-04,0.480,
2010-07,0.481,
2010-10,0.463,
2011-01,0.474,
2011-04,0.473,
2011-07,0.476,
2011-10,0.457,
2012-01,0.457,
2012-04,0.452,
2012-07,0.446,
2012-10,0.441,
2013-01,0.414,
2013-04,0.413,
2013-07,0.441,
2013-10,0.440,
2014-01,0.482,
2014-04,0.489,
2014-07,0.487,
