"",BBK01.OEXB21T,BBK01.OEXB21T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:18,
2002-01,0.525,
2002-04,0.529,
2002-07,0.542,
2002-10,0.553,
2003-01,0.559,
2003-04,0.562,
2003-07,0.573,
2003-10,0.659,
2004-01,0.686,
2004-04,0.679,
2004-07,0.690,
2004-10,0.691,
2005-01,0.699,
2005-04,0.715,
2005-07,0.754,
2005-10,0.752,
2006-01,0.812,
2006-04,0.780,
2006-07,0.694,
2006-10,0.699,
2007-01,0.697,
2007-04,0.681,
2007-07,0.661,
2007-10,0.643,
2008-01,0.592,
2008-04,0.567,
2008-07,0.547,
2008-10,0.535,
2009-01,0.532,
2009-04,0.541,
2009-07,0.559,
2009-10,0.592,
2010-01,0.609,
2010-04,0.569,
2010-07,0.570,
2010-10,0.582,
2011-01,0.588,
2011-04,0.586,
2011-07,0.611,
2011-10,0.617,
2012-01,0.612,
2012-04,0.643,
2012-07,0.675,
2012-10,0.704,
2013-01,0.730,
2013-04,0.730,
2013-07,0.783,
2013-10,0.780,
2014-01,0.902,
2014-04,0.894,
2014-07,0.915,
