"",BBK01.OEAC18G,BBK01.OEAC18G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:31,
2002-01,0.482,
2002-04,0.645,
2002-07,0.510,
2002-10,0.517,
2003-01,0.301,
2003-04,0.452,
2003-07,0.369,
2003-10,0.352,
2004-01,0.272,
2004-04,0.444,
2004-07,0.448,
2004-10,0.341,
2005-01,0.352,
2005-04,0.369,
2005-07,0.367,
2005-10,0.318,
2006-01,0.297,
2006-04,0.395,
2006-07,0.417,
2006-10,0.386,
2007-01,0.446,
2007-04,0.401,
2007-07,0.494,
2007-10,0.532,
2008-01,0.626,
2008-04,0.643,
2008-07,0.845,
2008-10,0.899,
2009-01,0.923,
2009-04,0.951,
2009-07,0.864,
2009-10,0.890,
2010-01,0.805,
2010-04,0.711,
2010-07,0.645,
2010-10,0.730,
2011-01,0.604,
2011-04,0.731,
2011-07,0.665,
2011-10,0.735,
2012-01,0.726,
2012-04,0.797,
2012-07,0.837,
2012-10,0.900,
2013-01,0.844,
2013-04,0.832,
2013-07,0.833,
2013-10,0.714,
2014-01,0.747,
2014-04,0.787,
2014-07,0.753,
