"",BBK01.OEHB15P,BBK01.OEHB15P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:38,
2002-01,0.073,
2002-04,0.074,
2002-07,0.076,
2002-10,0.077,
2003-01,0.075,
2003-04,0.082,
2003-07,0.088,
2003-10,0.086,
2004-01,0.085,
2004-04,0.086,
2004-07,0.083,
2004-10,0.075,
2005-01,0.077,
2005-04,0.078,
2005-07,0.078,
2005-10,0.078,
2006-01,0.077,
2006-04,0.078,
2006-07,0.076,
2006-10,0.076,
2007-01,0.075,
2007-04,0.075,
2007-07,0.071,
2007-10,0.075,
2008-01,0.078,
2008-04,0.077,
2008-07,0.074,
2008-10,0.071,
2009-01,0.067,
2009-04,0.066,
2009-07,0.064,
2009-10,0.065,
2010-01,0.062,
2010-04,0.063,
2010-07,0.064,
2010-10,0.065,
2011-01,0.060,
2011-04,0.061,
2011-07,0.067,
2011-10,0.069,
2012-01,0.071,
2012-04,0.073,
2012-07,0.073,
2012-10,0.068,
2013-01,0.068,
2013-04,0.071,
2013-07,0.073,
2013-10,0.073,
2014-01,0.068,
2014-04,0.068,
2014-07,0.069,
