"",BBK01.SUD117S,BBK01.SUD117S_FLAGS
"",Effective interest rates of German banks / New business (estimated) / Housing loans to households with an initial rate fixation of over 1 year and up to 5 years,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2014-01-30 11:39:59,
2000-01,6.4818,Estimated value
2000-02,6.5713,Estimated value
2000-03,6.6049,Estimated value
2000-04,6.6049,Estimated value
2000-05,7.0191,Estimated value
2000-06,7.1087,Estimated value
2000-07,7.2206,Estimated value
2000-08,7.2878,Estimated value
2000-09,7.3102,Estimated value
2000-10,7.2878,Estimated value
2000-11,7.2542,Estimated value
2000-12,6.9408,Estimated value
2001-01,6.6609,Estimated value
2001-02,6.6497,Estimated value
2001-03,6.5489,Estimated value
2001-04,6.4930,Estimated value
2001-05,6.5825,Estimated value
2001-06,6.4930,Estimated value
2001-07,6.4706,Estimated value
2001-08,6.2915,Estimated value
2001-09,6.0564,Estimated value
2001-10,5.7317,Estimated value
2001-11,5.5414,Estimated value
2001-12,5.7429,Estimated value
2002-01,5.8101,Estimated value
2002-02,6.0228,Estimated value
2002-03,6.2803,Estimated value
2002-04,6.3810,Estimated value
2002-05,6.4146,Estimated value
2002-06,6.3027,Estimated value
2002-07,6.1235,Estimated value
2002-08,5.7877,Estimated value
2002-09,5.5414,Estimated value
2002-10,5.4407,Estimated value
2002-11,5.3287,Estimated value
2002-12,5.1720,Estimated value
