"",BBK01.OEAH65O,BBK01.OEAH65O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:11,
2002-01,1.137,
2002-04,1.131,
2002-07,1.138,
2002-10,1.182,
2003-01,1.127,
2003-04,1.055,
2003-07,1.025,
2003-10,1.051,
2004-01,0.957,
2004-04,0.883,
2004-07,0.858,
2004-10,0.967,
2005-01,1.018,
2005-04,1.013,
2005-07,0.989,
2005-10,1.078,
2006-01,1.206,
2006-04,1.394,
2006-07,1.569,
2006-10,1.818,
2007-01,2.354,
2007-04,2.883,
2007-07,3.481,
2007-10,4.095,
2008-01,4.497,
2008-04,4.857,
2008-07,5.167,
2008-10,5.609,
2009-01,5.052,
2009-04,3.963,
2009-07,3.121,
2009-10,2.555,
2010-01,2.057,
2010-04,1.876,
2010-07,1.747,
2010-10,1.832,
2011-01,1.853,
2011-04,1.953,
2011-07,2.050,
2011-10,2.199,
2012-01,2.286,
2012-04,2.200,
2012-07,2.026,
2012-10,1.792,
2013-01,1.532,
2013-04,1.319,
2013-07,1.200,
2013-10,1.097,
2014-01,1.024,
2014-04,0.975,
2014-07,0.943,
