"",BBK01.OELI07R,BBK01.OELI07R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:08,
2002-01,1.406,
2002-04,1.390,
2002-07,1.433,
2002-10,1.507,
2003-01,1.523,
2003-04,1.499,
2003-07,1.522,
2003-10,1.549,
2004-01,1.560,
2004-04,1.548,
2004-07,1.557,
2004-10,1.569,
2005-01,1.584,
2005-04,1.570,
2005-07,1.575,
2005-10,1.602,
2006-01,1.619,
2006-04,1.629,
2006-07,1.636,
2006-10,1.640,
2007-01,1.611,
2007-04,1.595,
2007-07,1.607,
2007-10,1.626,
2008-01,1.641,
2008-04,1.603,
2008-07,1.573,
2008-10,1.608,
2009-01,1.596,
2009-04,1.556,
2009-07,1.510,
2009-10,1.546,
2010-01,1.525,
2010-04,1.492,
2010-07,1.473,
2010-10,1.479,
2011-01,1.473,
2011-04,1.465,
2011-07,1.462,
2011-10,1.478,
2012-01,1.474,
2012-04,1.473,
2012-07,1.473,
2012-10,1.491,
2013-01,1.490,
2013-04,1.495,
2013-07,1.500,
2013-10,1.514,
2014-01,1.515,
2014-04,1.504,
2014-07,1.498,
