"",BBK01.OEHO04U,BBK01.OEHO04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:05,
2002-01,-0.081,
2002-04,-0.120,
2002-07,-0.032,
2002-10,0.026,
2003-01,0.051,
2003-04,-0.017,
2003-07,0.060,
2003-10,0.120,
2004-01,0.076,
2004-04,0.033,
2004-07,0.022,
2004-10,0.070,
2005-01,0.044,
2005-04,-0.010,
2005-07,-0.026,
2005-10,0.013,
2006-01,0.057,
2006-04,-0.062,
2006-07,-0.083,
2006-10,-0.081,
2007-01,-0.096,
2007-04,-0.110,
2007-07,-0.061,
2007-10,-0.039,
2008-01,-0.154,
2008-04,-0.159,
2008-07,-0.139,
2008-10,-0.004,
2009-01,0.062,
2009-04,0.042,
2009-07,0.036,
2009-10,0.230,
2010-01,0.144,
2010-04,0.046,
2010-07,0.024,
2010-10,0.017,
2011-01,0.017,
2011-04,-0.052,
2011-07,-0.027,
2011-10,-0.019,
2012-01,-0.009,
2012-04,-0.034,
2012-07,-0.020,
2012-10,0.045,
2013-01,0.048,
2013-04,-0.025,
2013-07,-0.011,
2013-10,-0.005,
2014-01,0.013,
2014-04,-0.026,
2014-07,-0.005,
