"",BBK01.CE3K03,BBK01.CE3K03_FLAGS
"",Net financial assets debtor: All sectors                    creditor:Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:21,
1991-01,87.8,
1991-04,90.0,
1991-07,107.5,
1991-10,109.1,
1992-01,88.1,
1992-04,95.1,
1992-07,97.3,
1992-10,89.7,
1993-01,80.3,
1993-04,90.5,
1993-07,97.8,
1993-10,105.1,
1994-01,101.7,
1994-04,105.1,
1994-07,123.5,
1994-10,133.2,
1995-01,90.7,
1995-04,88.5,
1995-07,95.8,
1995-10,109.9,
1996-01,109.5,
1996-04,122.5,
1996-07,126.7,
1996-10,123.6,
1997-01,122.6,
1997-04,143.1,
1997-07,143.3,
1997-10,119.6,
1998-01,156.9,
1998-04,160.3,
1998-07,184.8,
1998-10,153.8,
1999-01,161.6,
1999-04,183.7,
1999-07,188.1,
1999-10,281.4,
2000-01,242.1,
2000-04,273.2,
2000-07,252.4,
2000-10,201.1,
2001-01,155.0,
2001-04,162.7,
2001-07,165.1,
2001-10,189.7,
2002-01,199.0,
2002-04,182.4,
2002-07,183.7,
2002-10,168.3,
2003-01,138.9,
2003-04,123.4,
2003-07,131.8,
2003-10,102.9,
2004-01,78.6,
2004-04,86.8,
2004-07,98.6,
2004-10,110.5,
2005-01,108.7,
2005-04,132.1,
2005-07,132.9,
2005-10,175.2,
2006-01,35.9,
2006-04,40.0,
2006-07,60.4,
2006-10,89.8,
2007-01,26.6,
2007-04,35.7,
2007-07,74.9,
2007-10,69.3,
2008-01,108.2,
2008-04,157.5,
2008-07,197.0,
2008-10,305.6,
2009-01,309.9,
2009-04,264.2,
2009-07,243.1,
2009-10,278.9,
2010-01,255.0,
2010-04,319.5,
2010-07,327.8,
2010-10,412.0,
2011-01,364.6,
2011-04,364.8,
2011-07,499.3,
2011-10,497.9,
2012-01,471.5,
2012-04,525.6,
2012-07,514.8,
2012-10,494.4,
2013-01,488.3,
2013-04,436.6,
2013-07,432.8,
2013-10,403.0,
2014-01,424.5,
