"",BBK01.CEFL0M,BBK01.CEFL0M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:35,
1999-01,28.1,
1999-04,31.2,
1999-07,34.4,
1999-10,37.5,
2000-01,37.7,
2000-04,37.8,
2000-07,38.0,
2000-10,38.2,
2001-01,38.5,
2001-04,38.9,
2001-07,39.2,
2001-10,39.5,
2002-01,38.1,
2002-04,36.8,
2002-07,35.4,
2002-10,34.0,
2003-01,34.3,
2003-04,34.6,
2003-07,34.9,
2003-10,35.2,
2004-01,35.6,
2004-04,36.1,
2004-07,36.5,
2004-10,37.0,
2005-01,36.7,
2005-04,36.4,
2005-07,36.1,
2005-10,35.8,
2006-01,41.7,
2006-04,40.7,
2006-07,43.3,
2006-10,44.1,
2007-01,42.1,
2007-04,42.3,
2007-07,41.5,
2007-10,41.4,
2008-01,40.4,
2008-04,38.6,
2008-07,37.7,
2008-10,34.7,
2009-01,35.4,
2009-04,37.2,
2009-07,37.6,
2009-10,37.2,
2010-01,37.9,
2010-04,38.4,
2010-07,39.9,
2010-10,39.8,
2011-01,39.8,
2011-04,39.7,
2011-07,38.7,
2011-10,39.4,
2012-01,43.5,
2012-04,44.2,
2012-07,46.0,
2012-10,46.7,
2013-01,48.3,
2013-04,48.8,
2013-07,50.4,
2013-10,51.2,
2014-01,52.6,
2014-04,53.3,
2014-07,54.9,
