"",BBFN1.M.DE.N.1.A.MT.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.MT.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Malta,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:11:31,
1995-01,0.012,
1995-02,0.012,
1995-03,0.012,
1995-04,0.013,
1995-05,0.013,
1995-06,0.013,
1995-07,0.013,
1995-08,0.013,
1995-09,0.013,
1995-10,0.014,
1995-11,0.014,
1995-12,0.012,
1996-01,0.012,
1996-02,0.012,
1996-03,0.012,
1996-04,0.012,
1996-05,0.012,
1996-06,0.012,
1996-07,0.011,
1996-08,0.012,
1996-09,0.011,
1996-10,0.009,
1996-11,0.008,
1996-12,0.021,
1997-01,0.021,
1997-02,0.021,
1997-03,0.022,
1997-04,0.022,
1997-05,0.022,
1997-06,0.022,
1997-07,0.021,
1997-08,0.022,
1997-09,0.022,
1997-10,0.022,
1997-11,0.022,
1997-12,0.016,
1998-01,0.018,
1998-02,0.017,
1998-03,0.018,
1998-04,0.017,
1998-05,0.017,
1998-06,0.017,
1998-07,0.017,
1998-08,0.017,
1998-09,0.016,
1998-10,0.019,
1998-11,0.022,
1998-12,0.010,
1999-01,0.006,
1999-02,0.009,
1999-03,0.007,
1999-04,0.009,
1999-05,0.007,
1999-06,0.009,
1999-07,0.023,
1999-08,0.008,
1999-09,0.006,
1999-10,0.014,
1999-11,0.008,
1999-12,0.008,
2000-01,0.005,
2000-02,0.012,
2000-03,0.009,
2000-04,0.011,
2000-05,0.013,
2000-06,0.011,
2000-07,0.007,
2000-08,0.006,
2000-09,0.007,
2000-10,0.012,
2000-11,0.011,
2000-12,0.011,
2001-01,0.005,
2001-02,0.007,
2001-03,0.006,
2001-04,0.009,
2001-05,0.008,
2001-06,0.006,
2001-07,0.005,
2001-08,0.006,
2001-09,0.007,
2001-10,0.008,
2001-11,0.007,
2001-12,0.017,
2002-01,0.014,
2002-02,0.013,
2002-03,0.014,
2002-04,0.012,
2002-05,0.013,
2002-06,0.058,
2002-07,0.058,
2002-08,0.057,
2002-09,0.013,
2002-10,0.014,
2002-11,0.014,
2002-12,0.012,
2003-01,0.013,
2003-02,0.013,
2003-03,0.014,
2003-04,0.014,
2003-05,0.013,
2003-06,0.012,
2003-07,0.011,
2003-08,0.012,
2003-09,0.012,
2003-10,0.012,
2003-11,0.012,
2003-12,0.012,
2004-01,0.011,
2004-02,0.012,
2004-03,0.013,
2004-04,0.013,
2004-05,0.013,
2004-06,0.081,
2004-07,0.081,
2004-08,0.083,
2004-09,0.189,
2004-10,0.222,
2004-11,0.224,
2004-12,0.214,
2005-01,0.213,
2005-02,0.216,
2005-03,0.222,
2005-04,0.222,
2005-05,0.097,
2005-06,0.094,
2005-07,0.115,
2005-08,0.116,
2005-09,0.120,
2005-10,0.121,
2005-11,0.117,
2005-12,0.100,
2006-01,0.112,
2006-02,0.116,
2006-03,0.128,
2006-04,0.130,
2006-05,0.132,
2006-06,0.132,
2006-07,0.131,
2006-08,0.127,
2006-09,0.131,
2006-10,0.140,
2006-11,0.135,
2006-12,0.119,
2007-01,0.033,
2007-02,0.040,
2007-03,0.040,
2007-04,0.036,
2007-05,0.039,
2007-06,0.048,
2007-07,0.044,
2007-08,0.066,
2007-09,0.066,
2007-10,0.063,
2007-11,0.060,
2007-12,0.084,
2008-01,0.155,
2008-02,0.052,
2008-03,0.076,
2008-04,0.181,
2008-05,0.185,
2008-06,0.102,
2008-07,0.144,
2008-08,0.084,
2008-09,0.219,
2008-10,0.177,
2008-11,0.187,
2008-12,0.459,
2009-01,0.471,
2009-02,0.390,
2009-03,0.403,
2009-04,0.500,
2009-05,0.692,
2009-06,0.479,
2009-07,0.509,
2009-08,0.575,
2009-09,0.351,
2009-10,0.287,
2009-11,0.221,
2009-12,0.408,
2010-01,0.383,
2010-02,0.472,
2010-03,0.341,
2010-04,0.326,
2010-05,0.349,
2010-06,0.161,
2010-07,0.166,
2010-08,0.168,
2010-09,0.172,
2010-10,0.190,
2010-11,0.265,
2010-12,0.354,
2011-01,0.383,
2011-02,0.655,
2011-03,0.667,
2011-04,0.702,
2011-05,0.691,
2011-06,0.554,
2011-07,0.595,
2011-08,0.562,
2011-09,0.269,
2011-10,0.659,
2011-11,1.028,
2011-12,1.102,
2012-01,1.172,
2012-02,1.158,
2012-03,1.170,
2012-04,1.477,
2012-05,0.919,
2012-06,0.873,
2012-07,0.833,
2012-08,0.673,
2012-09,0.654,
2012-10,0.786,
2012-11,0.822,
2012-12,1.159,
2013-01,1.176,
2013-02,0.897,
2013-03,0.879,
2013-04,0.964,
2013-05,0.997,
2013-06,0.978,
2013-07,0.707,
2013-08,0.812,
2013-09,0.887,
2013-10,0.958,
2013-11,0.933,
2013-12,1.184,
2014-01,1.479,
2014-02,1.092,
2014-03,0.796,
2014-04,0.829,
2014-05,0.899,
2014-06,0.989,
2014-07,0.890,
2014-08,1.383,
2014-09,1.071,
2014-10,1.082,
2014-11,1.122,
2014-12,1.080,
