"",BBK01.OEHI04Q,BBK01.OEHI04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:46,
2002-01,1.902,
2002-04,1.862,
2002-07,1.797,
2002-10,1.687,
2003-01,1.670,
2003-04,1.606,
2003-07,1.565,
2003-10,1.498,
2004-01,1.401,
2004-04,1.374,
2004-07,1.353,
2004-10,1.378,
2005-01,1.156,
2005-04,1.200,
2005-07,1.171,
2005-10,1.170,
2006-01,1.240,
2006-04,1.219,
2006-07,1.269,
2006-10,1.499,
2007-01,1.602,
2007-04,1.687,
2007-07,1.919,
2007-10,2.050,
2008-01,2.181,
2008-04,2.340,
2008-07,2.562,
2008-10,2.476,
2009-01,1.482,
2009-04,1.172,
2009-07,0.939,
2009-10,0.649,
2010-01,0.587,
2010-04,0.579,
2010-07,0.586,
2010-10,0.580,
2011-01,0.632,
2011-04,0.731,
2011-07,0.736,
2011-10,0.791,
2012-01,0.788,
2012-04,0.745,
2012-07,0.779,
2012-10,0.777,
2013-01,0.658,
2013-04,0.578,
2013-07,0.572,
2013-10,0.557,
2014-01,0.463,
2014-04,0.484,
2014-07,0.477,
