"",BBK01.OEAE31O,BBK01.OEAE31O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:00,
2002-01,4.394,
2002-04,4.598,
2002-07,5.459,
2002-10,5.444,
2003-01,5.246,
2003-04,4.929,
2003-07,4.825,
2003-10,6.101,
2004-01,6.105,
2004-04,5.693,
2004-07,5.822,
2004-10,5.849,
2005-01,5.848,
2005-04,5.966,
2005-07,5.981,
2005-10,6.167,
2006-01,6.068,
2006-04,6.113,
2006-07,6.121,
2006-10,5.826,
2007-01,5.744,
2007-04,5.658,
2007-07,5.497,
2007-10,5.456,
2008-01,5.470,
2008-04,5.463,
2008-07,4.632,
2008-10,3.665,
2009-01,3.294,
2009-04,3.214,
2009-07,3.238,
2009-10,3.270,
2010-01,4.164,
2010-04,4.981,
2010-07,4.133,
2010-10,3.674,
2011-01,3.855,
2011-04,3.826,
2011-07,3.740,
2011-10,3.824,
2012-01,4.040,
2012-04,4.423,
2012-07,3.893,
2012-10,4.058,
2013-01,3.847,
2013-04,3.510,
2013-07,3.904,
2013-10,3.892,
2014-01,3.855,
2014-04,3.829,
2014-07,3.835,
