"",BBK01.OEAE30J,BBK01.OEAE30J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:46,
2002-01,0.166,
2002-04,0.153,
2002-07,0.166,
2002-10,0.162,
2003-01,0.160,
2003-04,0.167,
2003-07,0.167,
2003-10,0.166,
2004-01,0.173,
2004-04,0.165,
2004-07,0.182,
2004-10,0.178,
2005-01,0.175,
2005-04,0.285,
2005-07,0.283,
2005-10,0.301,
2006-01,0.362,
2006-04,0.369,
2006-07,0.318,
2006-10,0.316,
2007-01,0.312,
2007-04,0.330,
2007-07,0.328,
2007-10,0.334,
2008-01,0.348,
2008-04,0.335,
2008-07,0.321,
2008-10,0.296,
2009-01,0.321,
2009-04,0.327,
2009-07,0.340,
2009-10,0.347,
2010-01,0.267,
2010-04,0.354,
2010-07,0.358,
2010-10,0.366,
2011-01,0.359,
2011-04,0.352,
2011-07,0.263,
2011-10,0.314,
2012-01,0.321,
2012-04,0.455,
2012-07,0.429,
2012-10,0.325,
2013-01,0.320,
2013-04,0.352,
2013-07,0.351,
2013-10,0.356,
2014-01,0.416,
2014-04,0.406,
2014-07,0.389,
