"",BBFB1.M.N.DE.W1.S1P.S1.T.A.FA.O.F4.S._T.N.N,BBFB1.M.N.DE.W1.S1P.S1.T.A.FA.O.F4.S._T.N.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Loans / Enterprises and households / Short-term / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:35,
1991-01,242.864,
1991-02,663.146,
1991-03,1573.245,
1991-04,517.427,
1991-05,-785.856,
1991-06,738.305,
1991-07,-1227.612,
1991-08,-894.761,
1991-09,764.893,
1991-10,-220.367,
1991-11,-85.897,
1991-12,-1217.897,
1992-01,-137.538,
1992-02,-538.390,
1992-03,780.743,
1992-04,-48.061,
1992-05,-0.511,
1992-06,-492.374,
1992-07,-448.914,
1992-08,585.429,
1992-09,-587.474,
1992-10,13.294,
1992-11,-88.453,
1992-12,-1333.961,
1993-01,103.792,
1993-02,522.029,
1993-03,476.524,
1993-04,565.489,
1993-05,303.196,
1993-06,-209.630,
1993-07,-280.188,
1993-08,111.973,
1993-09,179.975,
1993-10,338.987,
1993-11,264.849,
1993-12,1540.522,
1994-01,161.568,
1994-02,84.363,
1994-03,1460.761,
1994-04,930.551,
1994-05,-59.821,
1994-06,143.673,
1994-07,416.703,
1994-08,896.295,
1994-09,796.593,
1994-10,144.184,
1994-11,-613.039,
1994-12,-340.520,
1995-01,1161.313,
1995-02,250.941,
1995-03,179.039,
1995-04,892.589,
1995-05,1123.439,
1995-06,-783.796,
1995-07,309.182,
1995-08,-145.376,
1995-09,953.328,
1995-10,890.036,
1995-11,258.581,
1995-12,-1143.890,
1996-01,-0.496,
1996-02,383.960,
1996-03,114.966,
1996-04,-102.462,
1996-05,427.272,
1996-06,-67.775,
1996-07,163.784,
1996-08,-99.291,
1996-09,371.809,
1996-10,-282.223,
1996-11,107.182,
1996-12,406.847,
1997-01,-13.092,
1997-02,240.335,
1997-03,-2.854,
1997-04,-157.365,
1997-05,430.626,
1997-06,45.311,
1997-07,221.647,
1997-08,-52.147,
1997-09,-192.776,
1997-10,-276.765,
1997-11,180.265,
1997-12,-157.936,
1998-01,20.951,
1998-02,285.136,
1998-03,-220.620,
1998-04,98.879,
1998-05,874.979,
1998-06,-669.153,
1998-07,480.951,
1998-08,-81.505,
1998-09,147.257,
1998-10,114.134,
1998-11,74.479,
1998-12,11.868,
1999-01,59.097,
1999-02,51.971,
1999-03,-277.856,
1999-04,-124.374,
1999-05,166.243,
1999-06,911.079,
1999-07,439.797,
1999-08,-261.326,
1999-09,190.835,
1999-10,195.206,
1999-11,-521.415,
1999-12,226.178,
2000-01,934.929,
2000-02,431.805,
2000-03,2252.184,
2000-04,-411.213,
2000-05,-832.481,
2000-06,236.397,
2000-07,38.729,
2000-08,70.778,
2000-09,5162.574,
2000-10,239.441,
2000-11,-345.567,
2000-12,41.929,
2001-01,-171.703,
2001-02,301.675,
2001-03,-11.297,
2001-04,543.008,
2001-05,-688.155,
2001-06,250.710,
2001-07,-5542.089,
2001-08,-836.678,
2001-09,725.109,
2001-10,-209.689,
2001-11,535.543,
2001-12,241.508,
2002-01,367.712,
2002-02,29.031,
2002-03,1002.561,
2002-04,167.364,
2002-05,-70.338,
2002-06,575.792,
2002-07,-109.676,
2002-08,125.085,
2002-09,472.034,
2002-10,458.855,
2002-11,-1101.072,
2002-12,728.952,
2003-01,-1140.669,
2003-02,665.393,
2003-03,1941.963,
2003-04,-397.855,
2003-05,-271.236,
2003-06,431.128,
2003-07,427.238,
2003-08,-37.658,
2003-09,292.977,
2003-10,77.182,
2003-11,51.519,
2003-12,464.789,
2004-01,-290.607,
2004-02,919.132,
2004-03,641.963,
2004-04,-209.379,
2004-05,-57.603,
2004-06,462.379,
2004-07,-137.198,
2004-08,118.413,
2004-09,364.659,
2004-10,-484.014,
2004-11,64.398,
2004-12,-648.934,
2005-01,-1335.341,
2005-02,1104.198,
2005-03,501.649,
2005-04,-429.229,
2005-05,185.348,
2005-06,119.693,
2005-07,-173.082,
2005-08,-141.803,
2005-09,-535.303,
2005-10,279.987,
2005-11,-163.615,
2005-12,-522.329,
2006-01,-548.003,
2006-02,1992.485,
2006-03,-2402.338,
2006-04,1769.635,
2006-05,-411.514,
2006-06,-1479.158,
2006-07,70.552,
2006-08,-369.609,
2006-09,836.300,
2006-10,-607.099,
2006-11,-695.919,
2006-12,2938.733,
2007-01,-7543.132,
2007-02,1059.152,
2007-03,587.012,
2007-04,494.795,
2007-05,-668.994,
2007-06,-74.448,
2007-07,-197.128,
2007-08,231.466,
2007-09,-2398.148,
2007-10,-170.062,
2007-11,4.721,
2007-12,75.476,
2008-01,-1606.960,
2008-02,989.067,
2008-03,921.424,
2008-04,-43.605,
2008-05,-169.648,
2008-06,607.857,
2008-07,761.928,
2008-08,-619.721,
2008-09,-85.574,
2008-10,-311.318,
2008-11,446.128,
2008-12,-406.527,
2009-01,-340.783,
2009-02,-537.431,
2009-03,-354.250,
2009-04,257.942,
2009-05,-1066.492,
2009-06,1912.334,
2009-07,-1652.373,
2009-08,215.113,
2009-09,-173.184,
2009-10,-412.384,
2009-11,-73.561,
2009-12,71.070,
2010-01,14.780,
2010-02,-127.827,
2010-03,438.988,
2010-04,452.283,
2010-05,-246.462,
2010-06,716.536,
2010-07,4586.793,
2010-08,2394.373,
2010-09,-2079.543,
2010-10,913.784,
2010-11,548.128,
2010-12,-143.183,
2011-01,-1605.383,
2011-02,1996.596,
2011-03,6930.385,
2011-04,-2165.487,
2011-05,6014.826,
2011-06,-6694.784,
2011-07,3766.032,
2011-08,2655.751,
2011-09,5911.291,
2011-10,-4872.385,
2011-11,-2797.500,
2011-12,-3717.624,
2012-01,6801.913,
2012-02,-9027.329,
2012-03,2982.494,
2012-04,-10661.552,
2012-05,175.177,
2012-06,336.581,
2012-07,364.029,
2012-08,-339.317,
2012-09,421.761,
2012-10,802.960,
2012-11,540.685,
2012-12,317.903,
2013-01,47.000,
2013-02,-305.000,
2013-03,627.000,
2013-04,968.000,
2013-05,-784.000,
2013-06,366.000,
2013-07,434.000,
2013-08,1241.000,
2013-09,2209.000,
2013-10,-1715.000,
2013-11,23.000,
2013-12,-1435.000,
2014-01,-407.000,
2014-02,-958.000,Provisional value
2014-03,1315.000,Provisional value
2014-04,-598.000,Provisional value
2014-05,266.000,Provisional value
2014-06,2114.000,Provisional value
2014-07,-656.000,Provisional value
2014-08,994.000,Provisional value
2014-09,-1931.000,
2014-10,1119.000,
2014-11,-1494.000,
2014-12,709.000,Provisional value
