"",BBK01.OEHB09K,BBK01.OEHB09K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:39,
2002-01,5.997,
2002-04,6.039,
2002-07,6.111,
2002-10,6.409,
2003-01,6.180,
2003-04,6.157,
2003-07,6.010,
2003-10,6.000,
2004-01,5.869,
2004-04,6.008,
2004-07,5.713,
2004-10,5.880,
2005-01,5.672,
2005-04,5.548,
2005-07,5.592,
2005-10,5.581,
2006-01,5.505,
2006-04,5.603,
2006-07,5.552,
2006-10,5.393,
2007-01,5.086,
2007-04,5.118,
2007-07,5.253,
2007-10,5.090,
2008-01,5.369,
2008-04,5.626,
2008-07,5.904,
2008-10,6.148,
2009-01,6.393,
2009-04,6.971,
2009-07,7.367,
2009-10,7.573,
2010-01,7.789,
2010-04,8.069,
2010-07,8.316,
2010-10,8.751,
2011-01,9.130,
2011-04,9.278,
2011-07,9.489,
2011-10,9.598,
2012-01,9.536,
2012-04,10.023,
2012-07,10.223,
2012-10,10.482,
2013-01,10.451,
2013-04,11.121,
2013-07,11.266,
2013-10,11.335,
2014-01,11.268,
2014-04,11.575,
2014-07,11.273,
