"",BBK01.CEF90I,BBK01.CEF90I_FLAGS
"",Non-MMF investment fund shares or units  debtor: Total                                  creditor: Households (incl. NPISH),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:31:51,
1999-01,276.7,
1999-04,293.3,
1999-07,299.0,
1999-10,334.0,
2000-01,366.3,
2000-04,371.9,
2000-07,390.9,
2000-10,383.0,
2001-01,377.7,
2001-04,390.2,
2001-07,363.3,
2001-10,397.1,
2002-01,406.8,
2002-04,387.2,
2002-07,374.9,
2002-10,378.3,
2003-01,379.3,
2003-04,403.1,
2003-07,407.8,
2003-10,413.6,
2004-01,420.6,
2004-04,420.6,
2004-07,423.4,
2004-10,420.1,
2005-01,432.8,
2005-04,448.8,
2005-07,467.4,
2005-10,473.4,
2006-01,398.1,
2006-04,378.1,
2006-07,388.8,
2006-10,398.9,
2007-01,396.3,
2007-04,410.5,
2007-07,412.1,
2007-10,414.3,
2008-01,390.3,
2008-04,395.3,
2008-07,382.6,
2008-10,345.0,
2009-01,334.7,
2009-04,354.5,
2009-07,377.5,
2009-10,386.6,
2010-01,396.9,
2010-04,393.7,
2010-07,399.8,
2010-10,408.2,
2011-01,398.6,
2011-04,394.7,
2011-07,364.6,
2011-10,371.4,
2012-01,386.3,
2012-04,379.1,
2012-07,391.9,
2012-10,396.2,
2013-01,431.8,
2013-04,426.4,
2013-07,435.3,
2013-10,444.9,
2014-01,453.5,
2014-04,469.7,
2014-07,482.5,
