"",BBK01.OEHM06N,BBK01.OEHM06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:58,
2002-01,0.414,
2002-04,0.427,
2002-07,0.440,
2002-10,0.443,
2003-01,0.423,
2003-04,0.429,
2003-07,0.421,
2003-10,0.423,
2004-01,0.429,
2004-04,0.424,
2004-07,0.408,
2004-10,0.406,
2005-01,0.391,
2005-04,0.385,
2005-07,0.368,
2005-10,0.368,
2006-01,0.348,
2006-04,0.388,
2006-07,0.386,
2006-10,0.379,
2007-01,0.362,
2007-04,0.275,
2007-07,0.275,
2007-10,0.291,
2008-01,0.283,
2008-04,0.273,
2008-07,0.267,
2008-10,0.287,
2009-01,0.314,
2009-04,0.324,
2009-07,0.336,
2009-10,0.341,
2010-01,0.343,
2010-04,0.429,
2010-07,0.320,
2010-10,0.323,
2011-01,0.344,
2011-04,0.334,
2011-07,0.320,
2011-10,0.306,
2012-01,0.267,
2012-04,0.256,
2012-07,0.251,
2012-10,0.241,
2013-01,0.236,
2013-04,0.237,
2013-07,0.234,
2013-10,0.231,
2014-01,0.221,
2014-04,0.221,
2014-07,0.210,
