"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.FI.00000.F05100.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.FI.00000.F05100.Z01.00_FLAGS
"",Special investors funds / Funds total / Shares / Finland,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:00,
2009-09,1502,
2009-10,1350,
2009-11,1365,
2009-12,1410,
2010-01,1614,
2010-02,1625,
2010-03,1809,
2010-04,1579,
2010-05,1490,
2010-06,1387,
2010-07,1470,
2010-08,1449,
2010-09,1649,
2010-10,1734,
2010-11,1673,
2010-12,1819,
2011-01,1807,
2011-02,1700,
2011-03,1690,
2011-04,1658,
2011-05,1523,
2011-06,1358,
2011-07,1223,
2011-08,1120,
2011-09,1005,
2011-10,1091,
2011-11,1028,
2011-12,982,
2012-01,1039,
2012-02,1116,
2012-03,1114,
2012-04,979,
2012-05,884,
2012-06,905,
2012-07,958,
2012-08,944,
2012-09,952,
2012-10,966,
2012-11,1016,
2012-12,1075,
2013-01,1148,
2013-02,1147,
2013-03,1047,
2013-04,1182,
2013-05,1212,
2013-06,1187,
2013-07,1243,
2013-08,1276,
2013-09,1328,
2013-10,1407,
2013-11,1480,
2013-12,1497,
2014-01,1432,
2014-02,1494,
2014-03,1441,
2014-04,1502,
2014-05,1539,
2014-06,1438,
2014-07,1451,
2014-08,1492,
2014-09,1593,
2014-10,1603,
2014-11,1675,
