"",BBK01.OEHB22Q,BBK01.OEHB22Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:53,
2002-01,0.109,
2002-04,0.114,
2002-07,0.046,
2002-10,0.045,
2003-01,0.095,
2003-04,0.129,
2003-07,0.186,
2003-10,0.138,
2004-01,0.113,
2004-04,0.134,
2004-07,0.140,
2004-10,0.134,
2005-01,0.163,
2005-04,0.203,
2005-07,0.174,
2005-10,0.131,
2006-01,0.175,
2006-04,0.143,
2006-07,0.134,
2006-10,0.138,
2007-01,0.099,
2007-04,0.088,
2007-07,0.090,
2007-10,0.069,
2008-01,0.074,
2008-04,0.092,
2008-07,0.106,
2008-10,0.107,
2009-01,0.091,
2009-04,0.155,
2009-07,0.197,
2009-10,0.141,
2010-01,0.189,
2010-04,0.208,
2010-07,0.232,
2010-10,0.159,
2011-01,0.202,
2011-04,0.240,
2011-07,0.188,
2011-10,0.197,
2012-01,0.213,
2012-04,0.203,
2012-07,0.219,
2012-10,0.211,
2013-01,0.250,
2013-04,0.221,
2013-07,0.202,
2013-10,0.122,
2014-01,0.179,
2014-04,0.162,
2014-07,0.178,
