"",BBK01.OEBL01M,BBK01.OEBL01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:01,
2002-01,14.299,
2002-04,14.159,
2002-07,14.141,
2002-10,14.918,
2003-01,15.047,
2003-04,15.236,
2003-07,15.508,
2003-10,15.841,
2004-01,15.975,
2004-04,16.065,
2004-07,16.275,
2004-10,16.917,
2005-01,22.408,
2005-04,22.564,
2005-07,22.665,
2005-10,22.809,
2006-01,22.955,
2006-04,22.946,
2006-07,22.672,
2006-10,22.908,
2007-01,23.358,
2007-04,23.814,
2007-07,23.856,
2007-10,25.202,
2008-01,26.658,
2008-04,27.173,
2008-07,27.390,
2008-10,29.643,
2009-01,32.539,
2009-04,34.577,
2009-07,33.448,
2009-10,33.255,
2010-01,33.149,
2010-04,33.354,
2010-07,33.273,
2010-10,34.423,
2011-01,34.785,
2011-04,35.390,
2011-07,36.407,
2011-10,36.755,
2012-01,36.837,
2012-04,37.121,
2012-07,37.266,
2012-10,36.650,
2013-01,36.017,
2013-04,36.353,
2013-07,36.344,
2013-10,36.017,
2014-01,35.649,
2014-04,36.210,
2014-07,37.116,
