"",BBDE1.M.DE.Y.AEP1.A2P300000.F.C.I10.A,BBDE1.M.DE.Y.AEP1.A2P300000.F.C.I10.A_FLAGS
"","Orders received excluding large orders, euro-area countries / At constant prices / Germany / Industry / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:20:09,
2010-01,92.0,
2010-02,93.4,
2010-03,96.6,
2010-04,99.8,
2010-05,98.8,
2010-06,97.4,
2010-07,100.6,
2010-08,102.4,
2010-09,102.3,
2010-10,102.0,
2010-11,104.6,
2010-12,107.2,
2011-01,110.0,
2011-02,110.6,
2011-03,109.6,
2011-04,111.6,
2011-05,106.4,
2011-06,102.2,
2011-07,106.5,
2011-08,109.7,
2011-09,104.9,
2011-10,105.2,
2011-11,101.5,
2011-12,101.1,
2012-01,101.0,
2012-02,98.2,
2012-03,98.6,
2012-04,95.4,
2012-05,98.3,
2012-06,94.9,
2012-07,97.3,
2012-08,96.3,
2012-09,93.2,
2012-10,95.6,
2012-11,93.3,
2012-12,97.3,
2013-01,94.4,
2013-02,93.2,
2013-03,96.5,
2013-04,95.2,
2013-05,95.8,
2013-06,98.4,
2013-07,95.2,
2013-08,95.0,
2013-09,96.2,
2013-10,97.7,
2013-11,98.6,
2013-12,97.1,
2014-01,99.9,
2014-02,99.7,
2014-03,97.7,
2014-04,100.9,
2014-05,95.8,
2014-06,95.8,
2014-07,99.3,
2014-08,96.1,
2014-09,102.1,
2014-10,103.4,
2014-11,103.6,
2014-12,104.7,Provisional value
