"",BBFN1.M.DE.N.1.A.AU.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.AU.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Australia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:27,
1982-09,0.195,
1982-10,0.197,
1982-11,0.195,
1982-12,0.226,
1983-01,0.235,
1983-02,0.217,
1983-03,0.218,
1983-04,0.216,
1983-05,0.219,
1983-06,0.233,
1983-07,0.226,
1983-08,0.225,
1983-09,0.227,
1983-10,0.230,
1983-11,0.242,
1983-12,0.259,
1984-01,0.255,
1984-02,0.241,
1984-03,0.240,
1984-04,0.251,
1984-05,0.278,
1984-06,0.285,
1984-07,0.285,
1984-08,0.287,
1984-09,0.291,
1984-10,0.291,
1984-11,0.292,
1984-12,0.297,
1985-01,0.284,
1985-02,0.281,
1985-03,0.288,
1985-04,0.292,
1985-05,0.300,
1985-06,0.296,
1985-07,0.297,
1985-08,0.305,
1985-09,0.309,
1985-10,0.296,
1985-11,0.303,
1985-12,0.329,
1986-01,0.320,
1986-02,0.309,
1986-03,0.331,
1986-04,0.328,
1986-05,0.367,
1986-06,0.375,
1986-07,0.348,
1986-08,0.333,
1986-09,0.326,
1986-10,0.339,
1986-11,0.344,
1986-12,0.292,
1987-01,0.280,
1987-02,0.278,
1987-03,0.279,
1987-04,0.296,
1987-05,0.291,
1987-06,0.294,
1987-07,0.295,
1987-08,0.283,
1987-09,0.325,
1987-10,0.282,
1987-11,0.298,
1987-12,0.285,
1988-01,0.261,
1988-02,0.245,
1988-03,0.231,
1988-04,0.252,
1988-05,0.273,
1988-06,0.265,
1988-07,0.260,
1988-08,0.252,
1988-09,0.302,
1988-10,0.304,
1988-11,0.257,
1988-12,0.258,
1989-01,0.270,
1989-02,0.269,
1989-03,0.289,
1989-04,0.288,
1989-05,0.285,
1989-06,0.303,
1989-07,0.319,
1989-08,0.303,
1989-09,0.325,
1989-10,0.307,
1989-11,0.320,
1989-12,0.343,
1990-01,0.367,
1990-02,0.402,
1990-03,0.421,
1990-04,0.389,
1990-05,0.460,
1990-06,0.450,
1990-07,0.378,
1990-08,0.379,
1990-09,0.427,
1990-10,0.451,
1990-11,0.404,
1990-12,0.380,
1991-01,0.351,
1991-02,0.383,
1991-03,0.424,
1991-04,0.444,
1991-05,0.482,
1991-06,0.444,
1991-07,0.422,
1991-08,0.476,
1991-09,0.466,
1991-10,0.458,
1991-11,0.419,
1991-12,0.290,
1992-01,0.315,
1992-02,0.320,
1992-03,0.284,
1992-04,0.313,
1992-05,0.314,
1992-06,0.334,
1992-07,0.315,
1992-08,0.328,
1992-09,0.318,
1992-10,0.372,
1992-11,0.423,
1992-12,0.374,
1993-01,0.425,
1993-02,0.341,
1993-03,0.412,
1993-04,0.460,
1993-05,0.380,
1993-06,0.361,
1993-07,0.397,
1993-08,0.418,
1993-09,0.472,
1993-10,0.430,
1993-11,0.412,
1993-12,0.375,
1994-01,0.361,
1994-02,0.361,
1994-03,0.443,
1994-04,0.505,
1994-05,0.477,
1994-06,0.462,
1994-07,0.460,
1994-08,0.497,
1994-09,0.425,
1994-10,0.381,
1994-11,0.320,
1994-12,0.336,
1995-01,0.413,
1995-02,0.517,
1995-03,0.518,
1995-04,0.508,
1995-05,0.586,
1995-06,0.588,
1995-07,0.565,
1995-08,0.580,
1995-09,0.636,
1995-10,0.650,
1995-11,0.454,
1995-12,0.472,
1996-01,0.479,
1996-02,0.493,
1996-03,0.502,
1996-04,0.564,
1996-05,0.718,
1996-06,0.661,
1996-07,0.567,
1996-08,0.654,
1996-09,0.651,
1996-10,0.644,
1996-11,0.639,
1996-12,0.585,
1997-01,0.575,
1997-02,0.626,
1997-03,0.758,
1997-04,0.798,
1997-05,0.691,
1997-06,0.759,
1997-07,0.759,
1997-08,0.741,
1997-09,0.732,
1997-10,0.692,
1997-11,0.705,
1997-12,0.707,
1998-01,0.724,
1998-02,0.754,
1998-03,0.763,
1998-04,0.802,
1998-05,0.866,
1998-06,0.877,
1998-07,0.817,
1998-08,0.825,
1998-09,0.838,
1998-10,0.850,
1998-11,0.850,
1998-12,0.713,
1999-01,0.782,
1999-02,0.823,
1999-03,0.908,
1999-04,0.963,
1999-05,1.006,
1999-06,1.014,
1999-07,1.041,
1999-08,1.023,
1999-09,1.030,
1999-10,1.052,
1999-11,1.008,
1999-12,0.807,
2000-01,0.852,
2000-02,0.873,
2000-03,1.049,
2000-04,1.102,
2000-05,1.055,
2000-06,1.066,
2000-07,1.051,
2000-08,1.073,
2000-09,1.146,
2000-10,1.153,
2000-11,1.153,
2000-12,0.791,
2001-01,0.757,
2001-02,0.786,
2001-03,0.749,
2001-04,0.730,
2001-05,0.764,
2001-06,0.572,
2001-07,0.543,
2001-08,0.607,
2001-09,0.571,
2001-10,0.592,
2001-11,0.654,
2001-12,0.680,
2002-01,0.661,
2002-02,0.710,
2002-03,0.661,
2002-04,0.628,
2002-05,0.636,
2002-06,0.718,
2002-07,0.680,
2002-08,0.725,
2002-09,0.963,
2002-10,0.993,
2002-11,1.121,
2002-12,1.021,
2003-01,1.024,
2003-02,0.804,
2003-03,0.966,
2003-04,0.964,
2003-05,0.995,
2003-06,0.926,
2003-07,0.874,
2003-08,0.921,
2003-09,0.980,
2003-10,1.146,
2003-11,1.039,
2003-12,0.935,
2004-01,0.921,
2004-02,0.954,
2004-03,0.945,
2004-04,1.114,
2004-05,1.023,
2004-06,0.906,
2004-07,1.073,
2004-08,1.069,
2004-09,0.959,
2004-10,1.093,
2004-11,1.107,
2004-12,0.944,
2005-01,0.798,
2005-02,0.746,
2005-03,0.746,
2005-04,0.921,
2005-05,1.093,
2005-06,1.041,
2005-07,1.064,
2005-08,0.819,
2005-09,0.780,
2005-10,0.774,
2005-11,0.717,
2005-12,0.682,
2006-01,0.838,
2006-02,0.883,
2006-03,0.936,
2006-04,0.790,
2006-05,0.851,
2006-06,1.720,
2006-07,1.802,
2006-08,1.886,
2006-09,1.801,
2006-10,2.008,
2006-11,1.921,
2006-12,1.910,
2007-01,1.897,
2007-02,1.851,
2007-03,1.994,
2007-04,1.894,
2007-05,1.963,
2007-06,1.871,
2007-07,0.940,
2007-08,1.185,
2007-09,1.477,
2007-10,1.574,
2007-11,1.945,
2007-12,1.990,
2008-01,1.924,
2008-02,1.898,
2008-03,1.683,
2008-04,1.780,
2008-05,1.838,
2008-06,1.815,
2008-07,1.799,
2008-08,1.767,
2008-09,1.823,
2008-10,1.729,
2008-11,1.931,
2008-12,2.809,
2009-01,2.952,
2009-02,2.882,
2009-03,3.365,
2009-04,3.120,
2009-05,3.180,
2009-06,3.325,
2009-07,3.262,
2009-08,3.265,
2009-09,3.082,
2009-10,3.302,
2009-11,3.645,
2009-12,3.638,
2010-01,3.517,
2010-02,3.523,
2010-03,3.420,
2010-04,3.264,
2010-05,3.552,
2010-06,3.302,
2010-07,3.715,
2010-08,3.484,
2010-09,3.410,
2010-10,3.618,
2010-11,3.787,
2010-12,4.036,
2011-01,4.168,
2011-02,4.154,
2011-03,3.999,
2011-04,3.942,
2011-05,4.086,
2011-06,4.034,
2011-07,3.986,
2011-08,4.093,
2011-09,3.560,
2011-10,3.406,
2011-11,3.173,
2011-12,3.190,
2012-01,2.828,
2012-02,2.849,
2012-03,3.458,
2012-04,3.363,
2012-05,3.255,
2012-06,4.002,
2012-07,4.066,
2012-08,3.686,
2012-09,4.433,
2012-10,4.641,
2012-11,4.724,
2012-12,4.360,
2013-01,4.355,
2013-02,4.174,
2013-03,3.971,
2013-04,3.568,
2013-05,4.009,
2013-06,3.197,
2013-07,2.967,
2013-08,3.531,
2013-09,3.677,
2013-10,3.733,
2013-11,3.405,
2013-12,2.749,
2014-01,2.822,
2014-02,2.766,
2014-03,2.819,
2014-04,2.817,
2014-05,2.990,
2014-06,2.678,
2014-07,2.786,
2014-08,3.051,
2014-09,3.223,
2014-10,3.702,
2014-11,3.274,
2014-12,2.997,
