"",BBK01.OEHM04L,BBK01.OEHM04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:45,
2002-01,0.665,
2002-04,0.752,
2002-07,0.681,
2002-10,0.758,
2003-01,0.539,
2003-04,0.667,
2003-07,0.488,
2003-10,0.517,
2004-01,0.348,
2004-04,0.319,
2004-07,0.317,
2004-10,0.313,
2005-01,0.308,
2005-04,0.321,
2005-07,0.317,
2005-10,0.320,
2006-01,0.344,
2006-04,0.389,
2006-07,0.514,
2006-10,0.578,
2007-01,0.508,
2007-04,0.594,
2007-07,0.584,
2007-10,0.521,
2008-01,0.611,
2008-04,0.661,
2008-07,0.876,
2008-10,0.902,
2009-01,0.910,
2009-04,1.006,
2009-07,0.875,
2009-10,0.833,
2010-01,0.565,
2010-04,0.617,
2010-07,0.505,
2010-10,0.373,
2011-01,0.435,
2011-04,0.599,
2011-07,0.545,
2011-10,0.522,
2012-01,0.439,
2012-04,0.522,
2012-07,0.487,
2012-10,0.476,
2013-01,0.438,
2013-04,0.573,
2013-07,0.581,
2013-10,0.535,
2014-01,0.438,
2014-04,0.579,
2014-07,0.488,
