"",BBK01.OEAB05T,BBK01.OEAB05T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:40,
2002-01,22.145,
2002-04,22.250,
2002-07,22.405,
2002-10,22.503,
2003-01,23.158,
2003-04,23.169,
2003-07,23.418,
2003-10,23.289,
2004-01,23.536,
2004-04,23.605,
2004-07,23.637,
2004-10,23.636,
2005-01,24.242,
2005-04,24.191,
2005-07,24.238,
2005-10,24.179,
2006-01,24.103,
2006-04,24.290,
2006-07,24.466,
2006-10,24.418,
2007-01,24.434,
2007-04,24.252,
2007-07,24.308,
2007-10,24.296,
2008-01,24.376,
2008-04,24.392,
2008-07,24.673,
2008-10,25.011,
2009-01,24.971,
2009-04,25.117,
2009-07,25.127,
2009-10,25.455,
2010-01,25.377,
2010-04,25.389,
2010-07,26.134,
2010-10,25.896,
2011-01,26.291,
2011-04,26.558,
2011-07,26.924,
2011-10,27.127,
2012-01,27.587,
2012-04,28.007,
2012-07,28.326,
2012-10,28.453,
2013-01,28.982,
2013-04,28.776,
2013-07,28.962,
2013-10,28.715,
2014-01,29.281,
2014-04,29.550,
2014-07,29.951,
