"",BBK01.OEYB02J,BBK01.OEYB02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:47,
2002-01,0.938,
2002-04,0.989,
2002-07,1.052,
2002-10,0.989,
2003-01,0.884,
2003-04,0.844,
2003-07,0.965,
2003-10,1.116,
2004-01,0.806,
2004-04,0.854,
2004-07,0.830,
2004-10,1.465,
2005-01,0.972,
2005-04,0.812,
2005-07,0.768,
2005-10,0.706,
2006-01,0.704,
2006-04,0.740,
2006-07,0.674,
2006-10,0.693,
2007-01,0.742,
2007-04,0.728,
2007-07,0.766,
2007-10,0.866,
2008-01,0.847,
2008-04,0.862,
2008-07,0.825,
2008-10,0.708,
2009-01,1.034,
2009-04,0.717,
2009-07,0.833,
2009-10,0.859,
2010-01,0.837,
2010-04,0.756,
2010-07,0.845,
2010-10,0.822,
2011-01,0.825,
2011-04,0.852,
2011-07,0.717,
2011-10,0.811,
2012-01,1.004,
2012-04,0.989,
2012-07,1.016,
2012-10,1.069,
2013-01,1.090,
2013-04,1.069,
2013-07,1.181,
2013-10,1.035,
2014-01,0.997,
2014-04,0.883,
2014-07,1.179,
