"",BBFN1.M.DE.N.1.A.SY.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SY.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Syria,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:29:16,
1994-12,0.487,
1995-01,0.479,
1995-02,0.469,
1995-03,0.460,
1995-04,0.460,
1995-05,0.458,
1995-06,0.446,
1995-07,0.442,
1995-08,0.428,
1995-09,0.440,
1995-10,0.441,
1995-11,0.436,
1995-12,0.434,
1996-01,0.448,
1996-02,0.429,
1996-03,0.424,
1996-04,0.414,
1996-05,0.414,
1996-06,0.434,
1996-07,0.432,
1996-08,0.423,
1996-09,0.427,
1996-10,0.430,
1996-11,0.434,
1996-12,0.442,
1997-01,0.446,
1997-02,0.431,
1997-03,0.425,
1997-04,0.427,
1997-05,0.423,
1997-06,0.433,
1997-07,0.426,
1997-08,0.432,
1997-09,0.429,
1997-10,0.429,
1997-11,0.430,
1997-12,0.437,
1998-01,0.435,
1998-02,0.455,
1998-03,0.440,
1998-04,0.446,
1998-05,0.406,
1998-06,0.442,
1998-07,0.439,
1998-08,0.429,
1998-09,0.442,
1998-10,0.455,
1998-11,0.433,
1998-12,0.416,
1999-01,0.416,
1999-02,0.423,
1999-03,0.407,
1999-04,0.403,
1999-05,0.414,
1999-06,0.414,
1999-07,0.418,
1999-08,0.419,
1999-09,0.423,
1999-10,0.430,
1999-11,0.444,
1999-12,0.436,
2000-01,0.460,
2000-02,0.439,
2000-03,0.444,
2000-04,0.446,
2000-05,0.461,
2000-06,0.472,
2000-07,0.444,
2000-08,0.471,
2000-09,0.490,
2000-10,0.511,
2000-11,0.529,
2000-12,0.310,
2001-01,0.285,
2001-02,0.256,
2001-03,0.274,
2001-04,0.255,
2001-05,0.270,
2001-06,0.309,
2001-07,0.299,
2001-08,0.284,
2001-09,0.297,
2001-10,0.301,
2001-11,0.289,
2001-12,0.267,
2002-01,0.249,
2002-02,0.261,
2002-03,0.268,
2002-04,0.301,
2002-05,0.280,
2002-06,0.287,
2002-07,0.286,
2002-08,0.292,
2002-09,0.293,
2002-10,0.285,
2002-11,0.280,
2002-12,0.274,
2003-01,0.275,
2003-02,0.273,
2003-03,0.269,
2003-04,0.279,
2003-05,0.258,
2003-06,0.246,
2003-07,0.247,
2003-08,0.266,
2003-09,0.278,
2003-10,0.263,
2003-11,0.257,
2003-12,0.255,
2004-01,0.249,
2004-02,0.236,
2004-03,0.255,
2004-04,0.240,
2004-05,0.264,
2004-06,0.257,
2004-07,0.241,
2004-08,0.259,
2004-09,0.264,
2004-10,0.253,
2004-11,0.247,
2004-12,0.231,
2005-01,0.212,
2005-02,0.206,
2005-03,0.246,
2005-04,0.252,
2005-05,0.254,
2005-06,0.252,
2005-07,0.260,
2005-08,0.275,
2005-09,0.258,
2005-10,0.263,
2005-11,0.323,
2005-12,0.325,
2006-01,0.321,
2006-02,0.337,
2006-03,0.341,
2006-04,0.357,
2006-05,0.344,
2006-06,0.370,
2006-07,0.349,
2006-08,0.409,
2006-09,0.322,
2006-10,0.326,
2006-11,0.348,
2006-12,0.306,
2007-01,0.284,
2007-02,0.290,
2007-03,0.295,
2007-04,0.286,
2007-05,0.294,
2007-06,0.293,
2007-07,0.330,
2007-08,0.304,
2007-09,0.294,
2007-10,0.295,
2007-11,0.302,
2007-12,0.317,
2008-01,0.320,
2008-02,0.295,
2008-03,0.307,
2008-04,0.319,
2008-05,0.312,
2008-06,0.359,
2008-07,0.379,
2008-08,0.360,
2008-09,0.369,
2008-10,0.351,
2008-11,0.337,
2008-12,0.342,
2009-01,0.334,
2009-02,0.316,
2009-03,0.322,
2009-04,0.322,
2009-05,0.322,
2009-06,0.342,
2009-07,0.340,
2009-08,0.368,
2009-09,0.344,
2009-10,0.359,
2009-11,0.427,
2009-12,0.345,
2010-01,0.340,
2010-02,0.355,
2010-03,0.387,
2010-04,0.387,
2010-05,0.414,
2010-06,0.391,
2010-07,0.432,
2010-08,0.434,
2010-09,0.388,
2010-10,0.414,
2010-11,0.385,
2010-12,0.335,
2011-01,0.336,
2011-02,0.354,
2011-03,0.339,
2011-04,0.350,
2011-05,0.344,
2011-06,0.348,
2011-07,0.337,
2011-08,0.358,
2011-09,0.369,
2011-10,0.364,
2011-11,0.352,
2011-12,0.334,
2012-01,0.352,
2012-02,0.369,
2012-03,0.367,
2012-04,0.363,
2012-05,0.358,
2012-06,0.358,
2012-07,0.354,
2012-08,0.347,
2012-09,0.392,
2012-10,0.357,
2012-11,0.356,
2012-12,0.351,
2013-01,0.345,
2013-02,0.347,
2013-03,0.349,
2013-04,0.344,
2013-05,0.245,
2013-06,0.246,
2013-07,0.337,
2013-08,0.342,
2013-09,0.344,
2013-10,0.340,
2013-11,0.342,
2013-12,0.335,
2014-01,0.333,
2014-02,0.336,
2014-03,0.334,
2014-04,0.333,
2014-05,0.330,
2014-06,0.330,
2014-07,0.330,
2014-08,0.330,
2014-09,0.330,
2014-10,0.330,
2014-11,0.326,
2014-12,0.327,
