"",BBK01.OEAD35K,BBK01.OEAD35K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:47,
2002-01,0.258,
2002-04,0.285,
2002-07,0.285,
2002-10,0.272,
2003-01,0.244,
2003-04,0.217,
2003-07,0.210,
2003-10,0.243,
2004-01,0.205,
2004-04,0.206,
2004-07,0.225,
2004-10,0.223,
2005-01,0.213,
2005-04,0.233,
2005-07,0.236,
2005-10,0.260,
2006-01,0.251,
2006-04,0.247,
2006-07,0.257,
2006-10,0.242,
2007-01,0.205,
2007-04,0.202,
2007-07,0.211,
2007-10,0.214,
2008-01,0.245,
2008-04,0.262,
2008-07,0.261,
2008-10,0.229,
2009-01,0.212,
2009-04,0.237,
2009-07,0.212,
2009-10,0.204,
2010-01,0.207,
2010-04,0.204,
2010-07,0.262,
2010-10,0.265,
2011-01,0.265,
2011-04,0.268,
2011-07,0.321,
2011-10,0.326,
2012-01,0.311,
2012-04,0.304,
2012-07,0.309,
2012-10,0.308,
2013-01,0.249,
2013-04,0.292,
2013-07,0.283,
2013-10,0.308,
2014-01,0.305,
2014-04,0.306,
2014-07,0.296,
