"",BBK01.OEAB21Q,BBK01.OEAB21Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:13,
2002-01,12.692,
2002-04,12.065,
2002-07,9.605,
2002-10,9.569,
2003-01,9.366,
2003-04,8.869,
2003-07,8.986,
2003-10,8.639,
2004-01,8.939,
2004-04,8.899,
2004-07,9.108,
2004-10,10.241,
2005-01,10.142,
2005-04,11.600,
2005-07,11.564,
2005-10,11.628,
2006-01,11.327,
2006-04,11.008,
2006-07,10.676,
2006-10,11.905,
2007-01,12.352,
2007-04,12.464,
2007-07,12.451,
2007-10,12.457,
2008-01,13.661,
2008-04,13.672,
2008-07,13.114,
2008-10,13.253,
2009-01,13.359,
2009-04,13.586,
2009-07,13.596,
2009-10,12.677,
2010-01,12.626,
2010-04,11.306,
2010-07,10.922,
2010-10,11.015,
2011-01,10.471,
2011-04,10.077,
2011-07,10.120,
2011-10,9.744,
2012-01,9.526,
2012-04,10.078,
2012-07,9.673,
2012-10,9.649,
2013-01,9.341,
2013-04,8.753,
2013-07,9.159,
2013-10,8.976,
2014-01,8.954,
2014-04,9.059,
2014-07,8.946,
