"",BBK01.OEAH68S,BBK01.OEAH68S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:29,
2002-01,8.048,
2002-04,7.855,
2002-07,7.889,
2002-10,8.251,
2003-01,8.421,
2003-04,8.421,
2003-07,8.526,
2003-10,8.707,
2004-01,8.763,
2004-04,8.695,
2004-07,8.791,
2004-10,8.974,
2005-01,10.053,
2005-04,10.061,
2005-07,10.076,
2005-10,10.243,
2006-01,10.277,
2006-04,10.101,
2006-07,9.924,
2006-10,9.900,
2007-01,9.699,
2007-04,9.530,
2007-07,9.347,
2007-10,9.439,
2008-01,9.325,
2008-04,9.205,
2008-07,9.063,
2008-10,9.174,
2009-01,9.290,
2009-04,9.407,
2009-07,9.805,
2009-10,10.416,
2010-01,10.841,
2010-04,10.983,
2010-07,11.174,
2010-10,11.482,
2011-01,11.520,
2011-04,11.447,
2011-07,11.492,
2011-10,11.741,
2012-01,11.866,
2012-04,11.809,
2012-07,11.876,
2012-10,12.160,
2013-01,12.277,
2013-04,12.302,
2013-07,12.413,
2013-10,12.632,
2014-01,12.685,
2014-04,12.743,
2014-07,12.845,
