"",BBK01.OEHM07N,BBK01.OEHM07N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:05,
2002-01,0.255,
2002-04,0.245,
2002-07,0.232,
2002-10,0.232,
2003-01,0.232,
2003-04,0.220,
2003-07,0.218,
2003-10,0.208,
2004-01,0.275,
2004-04,0.265,
2004-07,0.274,
2004-10,0.272,
2005-01,0.138,
2005-04,0.130,
2005-07,0.128,
2005-10,0.132,
2006-01,0.108,
2006-04,0.101,
2006-07,0.089,
2006-10,0.100,
2007-01,0.092,
2007-04,0.084,
2007-07,0.081,
2007-10,0.083,
2008-01,0.076,
2008-04,0.067,
2008-07,0.053,
2008-10,0.050,
2009-01,0.056,
2009-04,0.055,
2009-07,0.058,
2009-10,0.062,
2010-01,0.070,
2010-04,0.071,
2010-07,0.073,
2010-10,0.068,
2011-01,0.066,
2011-04,0.069,
2011-07,0.067,
2011-10,0.069,
2012-01,0.070,
2012-04,0.071,
2012-07,0.071,
2012-10,0.073,
2013-01,0.069,
2013-04,0.073,
2013-07,0.079,
2013-10,0.081,
2014-01,0.074,
2014-04,0.072,
2014-07,0.097,
