"",BBK01.CEFK0J,BBK01.CEFK0J_FLAGS
"",Other equity                                       debtor: Total                        creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:15,
1999-01,105.3,
1999-04,111.4,
1999-07,113.2,
1999-10,112.1,
2000-01,116.0,
2000-04,118.9,
2000-07,120.9,
2000-10,132.4,
2001-01,132.5,
2001-04,134.2,
2001-07,136.8,
2001-10,175.1,
2002-01,176.0,
2002-04,181.0,
2002-07,183.1,
2002-10,164.0,
2003-01,164.6,
2003-04,169.0,
2003-07,170.2,
2003-10,165.4,
2004-01,166.3,
2004-04,168.2,
2004-07,170.0,
2004-10,166.8,
2005-01,173.6,
2005-04,182.3,
2005-07,185.1,
2005-10,193.0,
2006-01,226.4,
2006-04,222.9,
2006-07,226.1,
2006-10,229.8,
2007-01,238.0,
2007-04,238.4,
2007-07,238.6,
2007-10,228.0,
2008-01,222.4,
2008-04,224.1,
2008-07,226.4,
2008-10,215.1,
2009-01,200.1,
2009-04,200.8,
2009-07,201.1,
2009-10,202.1,
2010-01,198.1,
2010-04,202.4,
2010-07,186.8,
2010-10,184.4,
2011-01,182.1,
2011-04,181.1,
2011-07,187.3,
2011-10,188.5,
2012-01,189.5,
2012-04,195.1,
2012-07,195.2,
2012-10,198.4,
2013-01,199.3,
2013-04,197.3,
2013-07,196.9,
2013-10,198.3,
2014-01,200.3,
2014-04,202.0,
2014-07,204.0,
