"",BBK01.CEFE20,BBK01.CEFE20_FLAGS
"",short-term loans                                              debtor: Domestic financial corporations    creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:12,
1999-01,103.8,
1999-04,117.3,
1999-07,107.4,
1999-10,115.4,
2000-01,152.5,
2000-04,171.2,
2000-07,166.9,
2000-10,165.3,
2001-01,186.4,
2001-04,183.5,
2001-07,190.0,
2001-10,180.0,
2002-01,176.2,
2002-04,172.1,
2002-07,175.1,
2002-10,173.0,
2003-01,193.2,
2003-04,192.5,
2003-07,195.0,
2003-10,186.9,
2004-01,200.3,
2004-04,191.6,
2004-07,191.0,
2004-10,189.3,
2005-01,183.3,
2005-04,185.5,
2005-07,210.4,
2005-10,203.1,
2006-01,234.6,
2006-04,245.8,
2006-07,249.4,
2006-10,227.9,
2007-01,254.6,
2007-04,275.2,
2007-07,279.8,
2007-10,263.3,
2008-01,297.1,
2008-04,308.6,
2008-07,307.8,
2008-10,311.6,
2009-01,326.6,
2009-04,332.4,
2009-07,314.3,
2009-10,328.4,
2010-01,299.5,
2010-04,339.1,
2010-07,340.1,
2010-10,343.5,
2011-01,346.4,
2011-04,393.1,
2011-07,453.7,
2011-10,424.7,
2012-01,455.2,
2012-04,497.9,
2012-07,485.4,
2012-10,475.2,
2013-01,509.5,
2013-04,563.4,
2013-07,326.2,
2013-10,301.8,
2014-01,323.4,
2014-04,330.2,
2014-07,335.6,
