"",BBK01.OEXB23H,BBK01.OEXB23H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:09,
2002-01,1.105,
2002-04,1.082,
2002-07,0.752,
2002-10,0.735,
2003-01,0.606,
2003-04,0.506,
2003-07,0.532,
2003-10,0.544,
2004-01,0.077,
2004-04,0.072,
2004-07,0.071,
2004-10,0.061,
2005-01,0.130,
2005-04,0.081,
2005-07,0.109,
2005-10,0.094,
2006-01,0.093,
2006-04,0.078,
2006-07,0.078,
2006-10,0.080,
2007-01,0.060,
2007-04,0.067,
2007-07,0.061,
2007-10,0.060,
2008-01,0.063,
2008-04,0.062,
2008-07,0.063,
2008-10,0.059,
2009-01,0.060,
2009-04,0.045,
2009-07,0.045,
2009-10,0.072,
2010-01,0.052,
2010-04,0.052,
2010-07,0.052,
2010-10,0.052,
2011-01,0.041,
2011-04,0.045,
2011-07,0.046,
2011-10,0.046,
2012-01,0.038,
2012-04,0.021,
2012-07,0.014,
2012-10,0.015,
2013-01,0.015,
2013-04,0.015,
2013-07,0.016,
2013-10,0.016,
2014-01,0.016,
2014-04,0.017,
2014-07,0.021,
