"",BBDA1.M.DE.Y.IM.S.A.E1.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.A.E1.A.V.ABA.A_FLAGS
"","Germany / Imports / At current prices, flows / Aggregate / all goods / European countries excluding Germany / At current prices, flows / Calendar and seasonally adjusted",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:59:29,
1993-01,17.22,
1993-02,17.42,
1993-03,16.22,
1993-04,17.22,
1993-05,16.65,
1993-06,16.26,
1993-07,16.68,
1993-08,17.39,
1993-09,17.02,
1993-10,16.60,
1993-11,17.75,
1993-12,17.22,
1994-01,16.85,
1994-02,17.35,
1994-03,18.25,
1994-04,17.98,
1994-05,19.01,
1994-06,18.41,
1994-07,18.67,
1994-08,18.77,
1994-09,19.54,
1994-10,19.05,
1994-11,19.47,
1994-12,20.14,
1995-01,19.72,
1995-02,20.33,
1995-03,21.23,
1995-04,20.08,
1995-05,20.31,
1995-06,21.16,
1995-07,20.57,
1995-08,19.82,
1995-09,21.38,
1995-10,20.47,
1995-11,20.00,
1995-12,20.86,
1996-01,22.49,
1996-02,20.14,
1996-03,20.86,
1996-04,21.20,
1996-05,20.26,
1996-06,21.22,
1996-07,21.36,
1996-08,20.71,
1996-09,21.32,
1996-10,22.52,
1996-11,21.71,
1996-12,22.74,
1997-01,22.83,
1997-02,23.10,
1997-03,23.01,
1997-04,21.62,
1997-05,23.73,
1997-06,23.74,
1997-07,24.61,
1997-08,24.40,
1997-09,23.84,
1997-10,24.97,
1997-11,24.55,
1997-12,24.25,
1998-01,27.02,
1998-02,25.04,
1998-03,24.53,
1998-04,26.77,
1998-05,23.98,
1998-06,26.01,
1998-07,26.39,
1998-08,25.41,
1998-09,24.37,
1998-10,25.13,
1998-11,23.84,
1998-12,25.16,
1999-01,24.94,
1999-02,24.93,
1999-03,25.30,
1999-04,25.25,
1999-05,27.17,
1999-06,26.26,
1999-07,26.51,
1999-08,28.36,
1999-09,26.53,
1999-10,26.80,
1999-11,27.94,
1999-12,26.81,
2000-01,29.13,
2000-02,27.84,
2000-03,29.96,
2000-04,28.59,
2000-05,31.57,
