"",BBK01.OEHB12H,BBK01.OEHB12H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:14,
2002-01,11.931,
2002-04,12.042,
2002-07,12.223,
2002-10,12.331,
2003-01,12.349,
2003-04,12.374,
2003-07,12.437,
2003-10,12.431,
2004-01,12.372,
2004-04,12.363,
2004-07,12.362,
2004-10,12.390,
2005-01,12.409,
2005-04,12.497,
2005-07,12.545,
2005-10,12.679,
2006-01,12.709,
2006-04,12.799,
2006-07,12.777,
2006-10,12.873,
2007-01,12.820,
2007-04,12.959,
2007-07,13.200,
2007-10,13.731,
2008-01,13.961,
2008-04,14.281,
2008-07,14.916,
2008-10,15.189,
2009-01,15.456,
2009-04,15.708,
2009-07,16.067,
2009-10,16.581,
2010-01,17.499,
2010-04,17.933,
2010-07,18.260,
2010-10,18.797,
2011-01,19.159,
2011-04,19.400,
2011-07,19.863,
2011-10,20.312,
2012-01,20.756,
2012-04,21.181,
2012-07,21.756,
2012-10,22.380,
2013-01,22.727,
2013-04,22.994,
2013-07,23.295,
2013-10,23.623,
2014-01,23.825,
2014-04,24.152,
2014-07,24.509,
