"",BBK01.CEFN03,BBK01.CEFN03_FLAGS
"",Transferable deposits                                                     debtor: Total           creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:21,
1999-01,281.1,
1999-04,269.1,
1999-07,259.0,
1999-10,228.6,
2000-01,263.9,
2000-04,261.3,
2000-07,239.8,
2000-10,248.8,
2001-01,288.8,
2001-04,309.8,
2001-07,323.0,
2001-10,296.4,
2002-01,280.9,
2002-04,310.0,
2002-07,317.7,
2002-10,316.0,
2003-01,355.2,
2003-04,369.5,
2003-07,341.2,
2003-10,311.5,
2004-01,339.6,
2004-04,333.4,
2004-07,348.0,
2004-10,286.7,
2005-01,357.9,
2005-04,385.1,
2005-07,352.0,
2005-10,304.6,
2006-01,343.7,
2006-04,339.9,
2006-07,339.5,
2006-10,355.2,
2007-01,387.6,
2007-04,403.5,
2007-07,411.8,
2007-10,411.2,
2008-01,439.7,
2008-04,412.0,
2008-07,496.2,
2008-10,549.9,
2009-01,454.7,
2009-04,510.0,
2009-07,456.6,
2009-10,444.1,
2010-01,497.2,
2010-04,617.0,
2010-07,535.6,
2010-10,547.0,
2011-01,524.5,
2011-04,519.0,
2011-07,679.2,
2011-10,634.1,
2012-01,895.9,
2012-04,945.3,
2012-07,898.7,
2012-10,774.0,
2013-01,713.5,
2013-04,689.5,
2013-07,679.8,
2013-10,613.5,
2014-01,610.1,
2014-04,608.1,
2014-07,627.6,
