"",BBFB1.Q.N.DE.PT.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.PT.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / Portugal,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:36,
1991-01,-59.913,
1991-04,-44.656,
1991-07,-41.536,
1991-10,-63.790,
1992-01,-71.039,
1992-04,-39.610,
1992-07,-40.364,
1992-10,-12.507,
1993-01,-49.842,
1993-04,-39.588,
1993-07,-39.900,
1993-10,-15.441,
1994-01,-52.990,
1994-04,-48.314,
1994-07,-48.568,
1994-10,-50.891,
1995-01,-49.548,
1995-04,-53.505,
1995-07,-24.249,
1995-10,-43.892,
1996-01,-44.353,
1996-04,-54.274,
1996-07,-52.852,
1996-10,-50.968,
1997-01,-53.478,
1997-04,-56.907,
1997-07,-54.808,
1997-10,-52.473,
1998-01,-57.883,
1998-04,-53.355,
1998-07,-54.347,
1998-10,-55.035,
1999-01,-51.332,
1999-04,-51.310,
1999-07,-52.657,
1999-10,-52.856,
2000-01,-55.460,
2000-04,-55.773,
2000-07,-55.060,
2000-10,-53.967,
2001-01,-62.826,
2001-04,-59.415,
2001-07,-58.277,
2001-10,-61.024,
2002-01,-61.353,
2002-04,-53.429,
2002-07,-68.254,
2002-10,-56.371,
2003-01,-53.178,
2003-04,-56.610,
2003-07,-59.097,
2003-10,-57.474,
2004-01,-45.008,
2004-04,-52.869,
2004-07,-42.205,
2004-10,-45.862,
2005-01,-38.659,
2005-04,-44.878,
2005-07,-41.084,
2005-10,-42.039,
2006-01,-40.443,
2006-04,-47.331,
2006-07,-41.130,
2006-10,-44.207,
2007-01,-40.736,
2007-04,-42.558,
2007-07,-42.924,
2007-10,-42.498,
2008-01,-50.050,
2008-04,-50.268,
2008-07,-45.115,
2008-10,-48.354,
2009-01,-51.555,
2009-04,-46.821,
2009-07,-52.021,
2009-10,-48.346,
2010-01,-55.180,
2010-04,-67.300,
2010-07,-59.278,
2010-10,-57.645,
2011-01,-52.146,
2011-04,-59.792,
2011-07,-45.045,
2011-10,-47.182,
2012-01,-57.275,
2012-04,-42.614,
2012-07,-45.962,
2012-10,-52.228,
2013-01,-54.018,
2013-04,-57.057,
2013-07,-42.077,
2013-10,-46.074,
2014-01,-52.072,Provisional value
2014-04,-59.166,Provisional value
2014-07,-47.403,Provisional value
