"",BBK01.OEXL01N,BBK01.OEXL01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:49,
2002-01,66.594,
2002-04,66.927,
2002-07,66.087,
2002-10,69.819,
2003-01,71.056,
2003-04,71.175,
2003-07,71.461,
2003-10,75.058,
2004-01,74.397,
2004-04,74.649,
2004-07,74.063,
2004-10,20.539,
2005-01,24.255,
2005-04,24.019,
2005-07,23.988,
2005-10,24.407,
2006-01,23.987,
2006-04,24.288,
2006-07,23.637,
2006-10,24.215,
2007-01,25.033,
2007-04,25.848,
2007-07,26.384,
2007-10,28.219,
2008-01,29.259,
2008-04,29.839,
2008-07,30.366,
2008-10,33.914,
2009-01,34.003,
2009-04,34.474,
2009-07,34.203,
2009-10,33.822,
2010-01,33.653,
2010-04,34.112,
2010-07,33.773,
2010-10,35.551,
2011-01,36.355,
2011-04,37.022,
2011-07,37.655,
2011-10,37.546,
2012-01,37.793,
2012-04,37.967,
2012-07,39.545,
2012-10,39.236,
2013-01,38.819,
2013-04,39.695,
2013-07,39.952,
2013-10,41.146,
2014-01,41.106,
2014-04,42.049,
2014-07,42.688,
