"",BBK01.OXA8P8,BBK01.OXA8P8_FLAGS
"","Stocks of loans to non-banks (non-MFIs) outside the euro area (including bills of exchange), traditionally securitised by banks (MFIs) in Germany also being the originator without removal from the balance sheet - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:29,
2009-12,0.694,
2010-01,0.710,
2010-02,-,Nothing exists
2010-03,0.801,
2010-04,-,Nothing exists
2010-05,0.787,
2010-06,0.789,
2010-07,0.774,
2010-08,0.771,
2010-09,0.757,
2010-10,0.747,
2010-11,0.646,
2010-12,0.637,
2011-01,0.611,
2011-02,0.608,
2011-03,0.571,
2011-04,0.534,
2011-05,0.531,
2011-06,0.522,
2011-07,0.528,
2011-08,0.528,
2011-09,0.529,
2011-10,0.534,
2011-11,0.534,
2011-12,0.525,
2012-01,0.520,
2012-02,0.516,
2012-03,0.512,
2012-04,0.508,
2012-05,0.507,
2012-06,0.456,
2012-07,0.493,
2012-08,0.486,
2012-09,0.480,
2012-10,0.446,
2012-11,0.434,
2012-12,0.412,
2013-01,0.396,
2013-02,0.395,
2013-03,0.382,
2013-04,0.371,
2013-05,0.364,
2013-06,0.360,
2013-07,0.353,
2013-08,0.354,
2013-09,0.343,
2013-10,0.319,
2013-11,0.320,
2013-12,0.313,
2014-01,0.313,
2014-02,0.311,
2014-03,0.307,
2014-04,0.270,
2014-05,0.348,
2014-06,0.667,
2014-07,0.661,
2014-08,0.658,
2014-09,0.670,
2014-10,0.665,
2014-11,0.769,
2014-12,0.773,Provisional value
