"",BBK01.OEAF02T,BBK01.OEAF02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:02,
2002-01,7.499,
2002-04,7.555,
2002-07,7.613,
2002-10,7.703,
2003-01,7.600,
2003-04,7.709,
2003-07,7.745,
2003-10,7.789,
2004-01,7.852,
2004-04,7.898,
2004-07,7.929,
2004-10,7.912,
2005-01,8.588,
2005-04,8.615,
2005-07,8.632,
2005-10,8.598,
2006-01,8.527,
2006-04,8.598,
2006-07,8.676,
2006-10,8.759,
2007-01,8.736,
2007-04,8.822,
2007-07,8.784,
2007-10,8.733,
2008-01,8.612,
2008-04,8.574,
2008-07,8.623,
2008-10,8.596,
2009-01,8.496,
2009-04,8.739,
2009-07,8.721,
2009-10,8.732,
2010-01,8.654,
2010-04,8.704,
2010-07,8.937,
2010-10,8.829,
2011-01,8.867,
2011-04,8.854,
2011-07,8.919,
2011-10,8.908,
2012-01,8.896,
2012-04,8.958,
2012-07,9.005,
2012-10,9.015,
2013-01,9.009,
2013-04,9.050,
2013-07,9.142,
2013-10,9.102,
2014-01,9.107,
2014-04,9.181,
2014-07,9.317,
