"",BBK01.OEYL02Q,BBK01.OEYL02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:04,
2002-01,0.145,
2002-04,0.158,
2002-07,0.165,
2002-10,0.164,
2003-01,0.167,
2003-04,0.426,
2003-07,0.480,
2003-10,0.470,
2004-01,0.524,
2004-04,0.146,
2004-07,0.139,
2004-10,0.109,
2005-01,0.169,
2005-04,0.070,
2005-07,0.081,
2005-10,0.061,
2006-01,0.117,
2006-04,0.069,
2006-07,0.063,
2006-10,0.049,
2007-01,0.094,
2007-04,0.086,
2007-07,0.063,
2007-10,0.066,
2008-01,0.056,
2008-04,0.045,
2008-07,0.042,
2008-10,0.032,
2009-01,0.033,
2009-04,0.042,
2009-07,0.060,
2009-10,0.031,
2010-01,0.124,
2010-04,0.221,
2010-07,0.212,
2010-10,0.208,
2011-01,0.229,
2011-04,0.187,
2011-07,0.221,
2011-10,0.238,
2012-01,0.211,
2012-04,2.224,
2012-07,1.639,
2012-10,1.208,
2013-01,2.224,
2013-04,2.252,
2013-07,2.355,
2013-10,1.473,
2014-01,1.876,
2014-04,3.341,
2014-07,2.257,
