"",BBSF2.M.1.T.00000.DAC01.I.F.SVB.U201.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.DAC01.I.F.SVB.U201.00000.F33200.Z01.M1_FLAGS
"","Funds total / Funds-of-funds / Long-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:18,
2009-09,251,
2009-10,257,
2009-11,258,
2009-12,288,
2010-01,307,
2010-02,312,
2010-03,309,
2010-04,296,
2010-05,280,
2010-06,284,
2010-07,328,
2010-08,311,
2010-09,292,
2010-10,301,
2010-11,309,
2010-12,293,
2011-01,292,
2011-02,286,
2011-03,259,
2011-04,254,
2011-05,242,
2011-06,236,
2011-07,295,
2011-08,282,
2011-09,288,
2011-10,331,
2011-11,367,
2011-12,371,
2012-01,429,
2012-02,475,
2012-03,504,
2012-04,539,
2012-05,515,
2012-06,556,
2012-07,549,
2012-08,582,
2012-09,611,
2012-10,532,
2012-11,540,
2012-12,522,
2013-01,559,
2013-02,560,
2013-03,574,
2013-04,584,
2013-05,627,
2013-06,591,
2013-07,591,
2013-08,583,
2013-09,584,
2013-10,676,
2013-11,718,
2013-12,721,
2014-01,754,
2014-02,740,
2014-03,789,
2014-04,804,
2014-05,812,
2014-06,823,
2014-07,806,
2014-08,686,
2014-09,535,
2014-10,585,
2014-11,514,
