"",BBK01.OXA7A2,BBK01.OXA7A2_FLAGS
"",Loans to non-financial corporations domiciled in other euro-area member states with an original maturity of more than one year and with a remaining maturity of more than one year and interest rate reset period within the next 12 months All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:20,
2010-06,45.949,
2010-07,-,Nothing exists
2010-08,-,Nothing exists
2010-09,46.601,
2010-10,-,Nothing exists
2010-11,-,Nothing exists
2010-12,45.063,
2011-01,-,Nothing exists
2011-02,-,Nothing exists
2011-03,42.804,
2011-04,-,Nothing exists
2011-05,-,Nothing exists
2011-06,42.293,
2011-07,-,Nothing exists
2011-08,-,Nothing exists
2011-09,44.567,
2011-10,-,Nothing exists
2011-11,-,Nothing exists
2011-12,41.964,
2012-01,-,Nothing exists
2012-02,-,Nothing exists
2012-03,41.801,
2012-04,-,Nothing exists
2012-05,-,Nothing exists
2012-06,41.420,
2012-07,-,Nothing exists
2012-08,-,Nothing exists
2012-09,46.324,
2012-10,-,Nothing exists
2012-11,-,Nothing exists
2012-12,43.743,
2013-01,-,Nothing exists
2013-02,-,Nothing exists
2013-03,43.115,
2013-04,-,Nothing exists
2013-05,-,Nothing exists
2013-06,40.459,
2013-07,-,Nothing exists
2013-08,-,Nothing exists
2013-09,39.897,
2013-10,-,Nothing exists
2013-11,-,Nothing exists
2013-12,40.222,
2014-01,-,Nothing exists
2014-02,-,Nothing exists
2014-03,41.090,
2014-04,-,Nothing exists
2014-05,-,Nothing exists
2014-06,40.595,
2014-07,-,Nothing exists
2014-08,-,Nothing exists
2014-09,40.640,
2014-10,-,Nothing exists
2014-11,-,Nothing exists
2014-12,40.553,Provisional value
