"",BBK01.OEAH11I,BBK01.OEAH11I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:23,
2002-01,15.017,
2002-04,14.233,
2002-07,14.133,
2002-10,14.328,
2003-01,14.397,
2003-04,14.222,
2003-07,14.041,
2003-10,14.096,
2004-01,13.859,
2004-04,13.620,
2004-07,13.520,
2004-10,13.704,
2005-01,16.337,
2005-04,16.165,
2005-07,16.013,
2005-10,16.150,
2006-01,16.033,
2006-04,15.929,
2006-07,15.716,
2006-10,15.865,
2007-01,16.272,
2007-04,16.267,
2007-07,16.434,
2007-10,16.778,
2008-01,16.741,
2008-04,16.821,
2008-07,16.764,
2008-10,18.174,
2009-01,18.158,
2009-04,17.809,
2009-07,17.600,
2009-10,17.213,
2010-01,16.695,
2010-04,16.505,
2010-07,16.363,
2010-10,16.761,
2011-01,16.804,
2011-04,16.589,
2011-07,16.451,
2011-10,16.508,
2012-01,16.680,
2012-04,16.537,
2012-07,16.268,
2012-10,16.294,
2013-01,16.074,
2013-04,15.902,
2013-07,15.695,
2013-10,15.639,
2014-01,15.491,
2014-04,15.376,
2014-07,15.607,
