"",BBFN1.M.DE.N.1.A.W1.S1P.F0.S.BN00.Z06.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.S.BN00.Z06.BGA.X001.D_FLAGS
1988-11,7.862,
1988-12,7.889,
1989-01,7.439,
1989-02,7.522,
1989-03,7.899,
1989-04,8.556,
1989-05,8.969,
1989-06,9.927,
1989-07,9.985,
1989-08,10.717,
1989-09,11.272,
1989-10,12.873,
1989-11,12.321,
1989-12,11.114,
1990-01,12.435,
1990-02,12.594,
1990-03,12.257,
1990-04,12.306,
1990-05,12.026,
1990-06,11.263,
1990-07,11.948,
1990-08,11.678,
1990-09,11.576,
1990-10,10.908,
1990-11,11.520,
1990-12,11.717,
1991-01,11.823,
1991-02,13.121,
1991-03,13.801,
1991-04,14.216,
1991-05,14.149,
1991-06,14.533,
1991-07,13.505,
1991-08,13.237,
1991-09,12.305,
1991-10,13.241,
1991-11,12.866,
1991-12,11.864,
1992-01,12.733,
1992-02,12.555,
1992-03,13.238,
1992-04,13.411,
1992-05,13.832,
1992-06,14.125,
1992-07,14.624,
1992-08,14.295,
1992-09,14.262,
1992-10,14.446,
1992-11,14.203,
1992-12,12.708,
1993-01,13.169,
1993-02,14.366,
1993-03,14.477,
1993-04,14.978,
1993-05,15.860,
1993-06,15.234,
1993-07,16.205,
1993-08,15.980,
1993-09,15.861,
1993-10,17.171,
1993-11,17.461,
1993-12,15.991,
1994-01,16.076,
1994-02,16.277,
1994-03,17.258,
1994-04,17.871,
1994-05,17.810,
1994-06,18.975,
1994-07,19.299,
1994-08,19.853,
1994-09,19.418,
1994-10,19.070,
1994-11,20.255,
1994-12,18.713,
1995-01,19.577,
1995-02,20.393,
1995-03,22.416,
1995-04,22.934,
1995-05,23.337,
1995-06,23.323,
1995-07,23.821,
1995-08,24.003,
1995-09,24.499,
1995-10,24.429,
1995-11,25.011,
1995-12,21.535,
1996-01,24.572,
1996-02,26.343,
1996-03,30.644,
1996-04,32.558,
1996-05,36.867,
1996-06,35.459,
1996-07,32.155,
1996-08,32.493,
1996-09,35.694,
1996-10,35.396,
1996-11,37.418,
1996-12,39.708,
1997-01,45.842,
1997-02,50.100,
1997-03,52.712,
1997-04,56.868,
1997-05,56.966,
1997-06,54.700,
1997-07,52.500,
1997-08,46.753,
1997-09,46.467,
1997-10,45.245,
1997-11,43.081,
1997-12,42.260,
1998-01,43.193,
1998-02,49.660,
1998-03,62.236,
1998-04,63.107,
1998-05,70.970,
1998-06,60.388,
1998-07,54.183,
1998-08,50.080,
1998-09,57.053,
1998-10,50.752,
1998-11,56.177,
1998-12,49.013,
1999-01,38.398,
1999-02,43.899,
1999-03,48.769,
1999-04,57.275,
1999-05,62.210,
1999-06,59.902,
1999-07,52.543,
1999-08,52.372,
1999-09,51.405,
1999-10,50.137,
1999-11,55.866,
1999-12,50.855,
2000-01,51.100,
2000-02,55.294,
2000-03,70.198,
2000-04,71.243,
2000-05,74.567,
2000-06,84.170,
2000-07,70.702,
2000-08,69.107,
2000-09,70.086,
2000-10,72.056,
2000-11,66.044,
2000-12,64.332,
2001-01,65.158,
2001-02,72.759,
2001-03,92.448,
2001-04,89.919,
2001-05,86.323,
2001-06,83.299,
2001-07,73.850,
2001-08,74.866,
2001-09,76.146,
2001-10,78.041,
2001-11,63.666,
2001-12,69.860,
2002-01,66.576,
2002-02,67.489,
2002-03,69.470,
2002-04,69.681,
2002-05,55.739,
2002-06,53.594,
2002-07,51.233,
2002-08,48.319,
2002-09,50.408,
2002-10,50.304,
2002-11,47.874,
2002-12,44.664,
2003-01,46.009,
2003-02,47.622,
2003-03,48.424,
2003-04,48.679,
2003-05,46.180,
2003-06,44.449,
2003-07,44.963,
2003-08,46.328,
2003-09,47.102,
2003-10,43.963,
2003-11,46.039,
2003-12,45.384,
2004-01,51.022,
2004-02,49.274,
2004-03,47.136,
2004-04,46.245,
2004-05,46.912,
2004-06,47.018,
2004-07,48.679,
2004-08,49.158,
2004-09,51.455,
2004-10,48.710,
2004-11,45.782,
2004-12,45.652,
2005-01,43.155,
2005-02,45.164,
2005-03,44.871,
2005-04,45.756,
2005-05,48.536,
2005-06,49.254,
2005-07,48.231,
2005-08,48.977,
2005-09,52.053,
2005-10,51.390,
2005-11,52.370,
2005-12,56.312,
2006-01,61.565,
2006-02,63.892,
2006-03,66.023,
2006-04,64.328,
2006-05,64.901,
2006-06,62.290,
2006-07,61.050,
2006-08,60.551,
2006-09,56.535,
2006-10,57.556,
2006-11,57.048,
2006-12,51.788,
2007-01,46.388,
2007-02,44.990,
2007-03,45.507,
2007-04,45.712,
2007-05,48.421,
2007-06,47.956,
2007-07,51.221,
2007-08,51.307,
2007-09,50.966,
2007-10,50.138,
2007-11,51.361,
2007-12,51.122,
2008-01,47.867,
2008-02,47.902,
2008-03,47.524,
2008-04,52.930,
2008-05,49.561,
2008-06,48.785,
2008-07,50.056,
2008-08,50.999,
2008-09,56.695,
2008-10,59.198,
2008-11,59.766,
2008-12,57.578,
2009-01,55.393,
2009-02,54.004,
2009-03,56.171,
2009-04,54.229,
2009-05,52.727,
2009-06,52.507,
2009-07,50.764,
2009-08,50.505,
2009-09,48.118,
2009-10,47.308,
2009-11,45.220,
2009-12,44.780,
2010-01,46.492,
2010-02,44.797,
2010-03,49.825,
2010-04,49.323,
2010-05,52.056,
2010-06,58.207,
2010-07,56.812,
2010-08,56.980,
2010-09,53.958,
2010-10,54.213,
2010-11,56.440,
2010-12,54.518,
2011-01,55.022,
2011-02,54.498,
2011-03,54.524,
2011-04,52.799,
2011-05,52.828,
2011-06,51.827,
2011-07,50.036,
2011-08,53.315,
2011-09,56.075,
2011-10,53.372,
2011-11,53.057,
2011-12,55.771,
2012-01,52.120,
2012-02,52.854,
2012-03,59.627,
2012-04,60.928,
2012-05,60.564,
2012-06,68.631,
2012-07,63.880,
2012-08,63.799,
2012-09,67.688,
2012-10,63.766,
2012-11,65.100,
2012-12,59.970,
2013-01,59.417,
2013-02,61.339,
2013-03,60.664,
2013-04,64.646,
2013-05,65.392,
2013-06,63.763,
2013-07,60.896,
2013-08,58.837,
2013-09,56.401,
2013-10,51.892,
2013-11,50.139,
2013-12,50.670,
2014-01,48.645,
2014-02,47.810,
2014-03,49.983,
2014-04,57.171,
2014-05,53.554,
2014-06,52.992,
2014-07,52.635,
2014-08,52.740,
2014-09,58.032,
2014-10,55.817,
2014-11,56.613,
2014-12,60.569,
"","General: From January 1999, excluding national currencies of the euro-area member states.",
