"",BBK01.OEAD08N,BBK01.OEAD08N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:26,
2002-01,6.583,
2002-04,6.488,
2002-07,6.460,
2002-10,6.081,
2003-01,6.106,
2003-04,6.010,
2003-07,5.816,
2003-10,5.587,
2004-01,5.401,
2004-04,5.449,
2004-07,5.319,
2004-10,5.014,
2005-01,5.140,
2005-04,4.987,
2005-07,4.914,
2005-10,4.583,
2006-01,4.661,
2006-04,4.730,
2006-07,4.926,
2006-10,4.727,
2007-01,4.918,
2007-04,4.890,
2007-07,4.803,
2007-10,4.724,
2008-01,4.839,
2008-04,4.876,
2008-07,5.073,
2008-10,4.477,
2009-01,4.349,
2009-04,4.267,
2009-07,4.229,
2009-10,4.026,
2010-01,4.079,
2010-04,4.062,
2010-07,4.280,
2010-10,4.197,
2011-01,4.180,
2011-04,4.194,
2011-07,4.145,
2011-10,4.067,
2012-01,4.163,
2012-04,4.056,
2012-07,4.051,
2012-10,4.026,
2013-01,4.096,
2013-04,3.937,
2013-07,3.841,
2013-10,3.846,
2014-01,3.852,
2014-04,3.854,
2014-07,3.829,
