"",BBK01.OEYO02I,BBK01.OEYO02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:13,
2002-01,0.720,
2002-04,0.613,
2002-07,0.571,
2002-10,0.619,
2003-01,0.752,
2003-04,0.596,
2003-07,0.654,
2003-10,0.699,
2004-01,0.799,
2004-04,0.635,
2004-07,0.659,
2004-10,0.673,
2005-01,0.740,
2005-04,0.673,
2005-07,0.639,
2005-10,0.616,
2006-01,0.764,
2006-04,0.745,
2006-07,0.561,
2006-10,0.705,
2007-01,0.962,
2007-04,0.908,
2007-07,0.844,
2007-10,0.658,
2008-01,0.711,
2008-04,0.736,
2008-07,0.736,
2008-10,1.191,
2009-01,0.701,
2009-04,0.494,
2009-07,0.521,
2009-10,0.983,
2010-01,0.535,
2010-04,0.445,
2010-07,0.386,
2010-10,0.583,
2011-01,0.578,
2011-04,0.454,
2011-07,0.384,
2011-10,0.408,
2012-01,0.381,
2012-04,0.319,
2012-07,0.281,
2012-10,0.356,
2013-01,0.311,
2013-04,0.275,
2013-07,0.309,
2013-10,0.308,
2014-01,0.277,
2014-04,0.291,
2014-07,0.290,
