"",BBK01.OEAF34P,BBK01.OEAF34P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:19,
2002-01,5.226,
2002-04,5.286,
2002-07,5.244,
2002-10,5.329,
2003-01,5.595,
2003-04,5.652,
2003-07,6.680,
2003-10,6.696,
2004-01,6.148,
2004-04,6.326,
2004-07,6.419,
2004-10,6.461,
2005-01,6.627,
2005-04,6.707,
2005-07,6.796,
2005-10,6.844,
2006-01,6.845,
2006-04,6.908,
2006-07,6.961,
2006-10,6.990,
2007-01,6.979,
2007-04,6.995,
2007-07,7.028,
2007-10,7.095,
2008-01,7.195,
2008-04,7.384,
2008-07,7.394,
2008-10,7.358,
2009-01,7.294,
2009-04,7.566,
2009-07,7.526,
2009-10,7.211,
2010-01,7.442,
2010-04,7.647,
2010-07,7.734,
2010-10,7.759,
2011-01,7.849,
2011-04,7.904,
2011-07,7.811,
2011-10,7.837,
2012-01,7.860,
2012-04,7.935,
2012-07,8.012,
2012-10,8.092,
2013-01,8.112,
2013-04,8.137,
2013-07,8.133,
2013-10,8.159,
2014-01,8.121,
2014-04,8.116,
2014-07,8.141,
