"",BBSF2.M.1.S.00000.TOT01.I.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Sales receipts,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:43,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,1693,
1993-05,1699,
1993-06,1228,
1993-07,2043,
1993-08,2649,
1993-09,1290,
1993-10,2117,
1993-11,1709,
1993-12,5138,
1994-01,3607,
1994-02,3353,
1994-03,2074,
1994-04,3913,
1994-05,1739,
1994-06,3089,
1994-07,1909,
1994-08,1368,
1994-09,871,
1994-10,2386,
1994-11,1348,
1994-12,4658,
1995-01,3997,
1995-02,2147,
1995-03,2144,
1995-04,1201,
1995-05,1134,
1995-06,1375,
1995-07,2390,
1995-08,901,
1995-09,2633,
1995-10,1100,
1995-11,2584,
1995-12,6781,
1996-01,5574,
1996-02,4213,
1996-03,2892,
1996-04,2696,
1996-05,1865,
1996-06,2882,
1996-07,2720,
1996-08,1767,
1996-09,1681,
1996-10,3882,
1996-11,3464,
1996-12,7437,
1997-01,6176,
1997-02,5294,
1997-03,4532,
1997-04,4230,
1997-05,1827,
1997-06,7981,
1997-07,5336,
1997-08,6015,
1997-09,5155,
1997-10,7297,
1997-11,2388,
1997-12,14372,
1998-01,8886,
1998-02,6189,
1998-03,6848,
1998-04,6138,
1998-05,5331,
1998-06,5378,
1998-07,7170,
1998-08,7128,
1998-09,5197,
1998-10,5219,
1998-11,5856,
1998-12,17320,
1999-01,9249,
1999-02,5758,
1999-03,6526,
1999-04,8861,
1999-05,9167,
1999-06,5489,
1999-07,5410,
1999-08,5888,
1999-09,4210,
1999-10,6101,
1999-11,6417,
1999-12,29427,
2000-01,11617,
2000-02,6504,
2000-03,4515,
2000-04,12001,
2000-05,6375,
2000-06,8339,
2000-07,5239,
2000-08,4812,
2000-09,5232,
2000-10,5586,
2000-11,6107,
2000-12,22412,
2001-01,10449,
2001-02,8655,
2001-03,6477,
2001-04,6016,
2001-05,4157,
2001-06,5683,
2001-07,6664,
2001-08,4487,
2001-09,3776,
2001-10,6587,
2001-11,6330,
2001-12,32058,
2002-01,9447,
2002-02,6688,
2002-03,5920,
2002-04,10376,
2002-05,8049,
2002-06,7137,
2002-07,7160,
2002-08,6663,
2002-09,7186,
2002-10,9535,
2002-11,8122,
2002-12,22012,
2003-01,9871,
2003-02,10219,
2003-03,10562,
2003-04,6454,
2003-05,8313,
2003-06,6591,
2003-07,6817,
2003-08,5497,
2003-09,8415,
2003-10,8887,
2003-11,7639,
2003-12,19284,
2004-01,9821,
2004-02,6984,
2004-03,6943,
2004-04,4897,
2004-05,6244,
2004-06,5637,
2004-07,4195,
2004-08,4741,
2004-09,8576,
2004-10,7164,
2004-11,9727,
2004-12,22411,
2005-01,6914,
2005-02,6794,
2005-03,9231,
2005-04,7019,
2005-05,7182,
2005-06,7274,
2005-07,7762,
2005-08,9897,
2005-09,7762,
2005-10,6954,
2005-11,7460,
2005-12,26300,
2006-01,18426,
2006-02,10834,
2006-03,13531,
2006-04,10304,
2006-05,12387,
2006-06,13331,
2006-07,12037,
2006-08,16764,
2006-09,17673,
2006-10,5622,
2006-11,8993,
2006-12,21694,
2007-01,14447,
2007-02,12339,
2007-03,9697,
2007-04,15047,
2007-05,7717,
2007-06,10053,
2007-07,8154,
2007-08,7543,
2007-09,5388,
2007-10,12235,
2007-11,10672,
2007-12,29092,
2008-01,11258,
2008-02,6494,
2008-03,9497,
2008-04,9410,
2008-05,10896,
2008-06,8489,
2008-07,16527,
2008-08,6125,
2008-09,10917,
2008-10,11463,
2008-11,14225,
2008-12,20552,
2009-01,13888,
2009-02,7808,
2009-03,14847,
2009-04,10478,
2009-05,15345,
2009-06,7550,
2009-07,15299,
2009-08,13296,
2009-09,17134,
2009-10,18712,
2009-11,13001,
2009-12,25136,
2010-01,16880,
2010-02,9378,
2010-03,13508,
2010-04,12091,
2010-05,8430,
2010-06,10482,
2010-07,13219,
2010-08,11800,
2010-09,13230,
2010-10,16178,
2010-11,10583,
2010-12,19967,
2011-01,11062,
2011-02,14430,
2011-03,7965,
2011-04,9766,
2011-05,6371,
2011-06,7411,
2011-07,6838,
2011-08,6817,
2011-09,9179,
2011-10,10822,
2011-11,16859,
2011-12,22342,
2012-01,17025,
2012-02,20998,
2012-03,12574,
2012-04,9073,
2012-05,7935,
2012-06,16193,
2012-07,21196,
2012-08,12329,
2012-09,13681,
2012-10,13396,
2012-11,21241,
2012-12,30058,
2013-01,17244,
2013-02,18140,
2013-03,17116,
2013-04,11794,
2013-05,13287,
2013-06,12722,
2013-07,15354,
2013-08,7711,
2013-09,10547,
2013-10,13145,
2013-11,22144,
2013-12,27515,
2014-01,12689,
2014-02,14769,
2014-03,18833,
2014-04,14200,
2014-05,12159,
2014-06,13219,
2014-07,18059,
2014-08,10958,
2014-09,12370,
2014-10,27408,
2014-11,23375,
