"",BBK01.TYI321,BBK01.TYI321_FLAGS
"",Monetary capital formation at monetary financial institutions (MFIs) in the euro area / Debt securities with maturities of over 2 years (net) / German contribution / Changes,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:18:56,
1980-01,0,
1980-02,1571,
1980-03,2005,
1980-04,1962,
1980-05,1146,
1980-06,359,
1980-07,177,
1980-08,137,
1980-09,331,
1980-10,-286,
1980-11,275,
1980-12,-740,
1981-01,2149,
1981-02,1807,
1981-03,3458,
1981-04,1666,
1981-05,1558,
1981-06,1309,
1981-07,1820,
1981-08,1092,
1981-09,996,
1981-10,685,
1981-11,-261,
1981-12,-1572,
1982-01,3663,
1982-02,1076,
1982-03,1359,
1982-04,-47,
1982-05,1076,
1982-06,-4875,
1982-07,1592,
1982-08,419,
1982-09,172,
1982-10,391,
1982-11,185,
1982-12,-976,
1983-01,2249,
1983-02,407,
1983-03,1161,
1983-04,644,
1983-05,1112,
1983-06,955,
1983-07,1370,
1983-08,869,
1983-09,1423,
1983-10,787,
1983-11,1910,
1983-12,-1348,
1984-01,5730,
1984-02,2612,
1984-03,1203,
1984-04,265,
1984-05,1497,
1984-06,-486,
1984-07,1128,
1984-08,760,
1984-09,889,
1984-10,1460,
1984-11,721,
1984-12,-505,
1985-01,4387,
1985-02,1570,
1985-03,2057,
1985-04,-1416,
1985-05,1130,
1985-06,951,
1985-07,1092,
1985-08,-38,
1985-09,1335,
1985-10,880,
1985-11,1190,
1985-12,-37,
1986-01,4318,
1986-02,1163,
1986-03,2443,
1986-04,831,
1986-05,2343,
1986-06,770,
1986-07,3053,
1986-08,1341,
1986-09,2456,
1986-10,-704,
1986-11,1568,
1986-12,-267,
1987-01,6385,
1987-02,929,
1987-03,5524,
1987-04,-901,
1987-05,2626,
1987-06,673,
1987-07,-75,
1987-08,188,
1987-09,1462,
1987-10,272,
1987-11,80,
1987-12,-2726,
1988-01,2333,
1988-02,-2249,
1988-03,-534,
1988-04,-268,
1988-05,-5,
1988-06,-488,
1988-07,-683,
1988-08,205,
1988-09,-1584,
1988-10,83,
1988-11,-777,
1988-12,-4084,
1989-01,2611,
1989-02,623,
1989-03,-1016,
1989-04,-1090,
1989-05,1590,
1989-06,-942,
1989-07,2188,
1989-08,1755,
1989-09,1115,
1989-10,1994,
1989-11,4172,
1989-12,1136,
1990-01,6944,
1990-02,3512,
1990-03,4243,
1990-04,4834,
1990-05,3866,
1990-06,266,
1990-07,4631,
1990-08,2095,
1990-09,3219,
1990-10,2012,
1990-11,3268,
1990-12,1131,
1991-01,10142,
1991-02,6417,
1991-03,2680,
1991-04,5056,
1991-05,4741,
1991-06,6033,
1991-07,5215,
1991-08,3545,
1991-09,5316,
1991-10,3248,
1991-11,4299,
1991-12,-658,
1992-01,8744,
1992-02,5404,
1992-03,4837,
1992-04,5320,
1992-05,1189,
1992-06,-73,
1992-07,2292,
1992-08,3881,
1992-09,3686,
1992-10,6642,
1992-11,3235,
1992-12,-3271,
1993-01,7377,
1993-02,4502,
1993-03,5719,
1993-04,-37,
1993-05,1383,
1993-06,-133,
1993-07,8864,
1993-08,4471,
1993-09,2440,
1993-10,4564,
1993-11,3883,
1993-12,-7729,
1994-01,4568,
1994-02,1308,
1994-03,-5292,
1994-04,449,
1994-05,3851,
1994-06,1425,
1994-07,5809,
1994-08,3435,
1994-09,5088,
1994-10,1950,
1994-11,8270,
1994-12,16896,
1995-01,9803,
1995-02,2921,
1995-03,4465,
1995-04,2856,
1995-05,5047,
1995-06,2541,
1995-07,16178,
1995-08,6450,
1995-09,5770,
1995-10,5467,
1995-11,2058,
1995-12,1045,
1996-01,7887,
1996-02,8926,
1996-03,345,
1996-04,10041,
1996-05,7407,
1996-06,1949,
1996-07,4941,
1996-08,3283,
1996-09,5167,
1996-10,4166,
1996-11,7283,
1996-12,-1467,
1997-01,4238,
1997-02,7786,
1997-03,8036,
1997-04,2930,
1997-05,3863,
1997-06,5489,
1997-07,7294,
1997-08,226,
1997-09,1983,
1997-10,657,
1997-11,5199,
1997-12,-4173,
1998-01,4963,
1998-02,11738,
1998-03,6144,
1998-04,8663,
1998-05,3264,
1998-06,1767,
1998-07,12318,
1998-08,-1111,
1998-09,9426,
1998-10,-8351,
1998-11,4508,
1998-12,-3878,
1999-01,15555,
1999-02,9685,
1999-03,3586,
1999-04,10654,
1999-05,2417,
1999-06,1630,
1999-07,3559,
1999-08,5483,
1999-09,15613,
1999-10,1189,
1999-11,5421,
1999-12,-5318,
2000-01,-7355,
2000-02,2603,
2000-03,120,
2000-04,9780,
2000-05,7690,
2000-06,813,
2000-07,8171,
2000-08,2471,
2000-09,-666,
2000-10,1404,
2000-11,-7968,
2000-12,-4137,
2001-01,9489,
2001-02,6374,
2001-03,-2271,
2001-04,-6815,
2001-05,-4488,
2001-06,3420,
2001-07,-808,
2001-08,2801,
2001-09,2492,
2001-10,1542,
2001-11,8832,
2001-12,-4799,
2002-01,2617,
2002-02,3224,
2002-03,10211,
2002-04,-1983,
2002-05,2273,
2002-06,2592,
2002-07,8194,
2002-08,5215,
2002-09,1984,
2002-10,-383,
2002-11,413,
2002-12,-14413,
2003-01,3931,
2003-02,721,
2003-03,-1081,
2003-04,498,
2003-05,4810,
2003-06,3716,
2003-07,4861,
2003-08,2212,
2003-09,9127,
2003-10,2559,
2003-11,2911,
2003-12,-2957,
2004-01,6612,
2004-02,748,
2004-03,9446,
2004-04,6239,
2004-05,4938,
2004-06,-1752,
2004-07,2366,
2004-08,5226,
2004-09,9828,
2004-10,-485,
2004-11,-923,
2004-12,-5251,
2005-01,656,
2005-02,4811,
2005-03,7762,
2005-04,10834,
2005-05,1936,
2005-06,4793,
2005-07,2751,
2005-08,-1033,
2005-09,-1951,
2005-10,724,
2005-11,-2447,
2005-12,-10649,
2006-01,4668,
2006-02,6247,
2006-03,-4094,
2006-04,-3285,
2006-05,4834,
2006-06,229,
2006-07,2430,
2006-08,-4897,
2006-09,-4164,
2006-10,-931,
2006-11,-270,
2006-12,-28,
2007-01,5783,
2007-02,-647,
2007-03,-4540,
2007-04,3554,
2007-05,6579,
2007-06,-3813,
2007-07,-723,
2007-08,-9020,
2007-09,-3090,
2007-10,5898,
2007-11,-12036,
2007-12,-9968,
2008-01,942,
2008-02,-6587,
2008-03,-1024,
2008-04,1563,
2008-05,-4292,
2008-06,720,
2008-07,-221,
2008-08,-1863,
2008-09,-6347,
2008-10,-16990,
2008-11,-10166,
2008-12,-18073,
2009-01,-441,
2009-02,-9800,
2009-03,-6826,
2009-04,-5903,
2009-05,2438,
2009-06,-3008,
2009-07,-8993,
2009-08,1749,
2009-09,-17056,
2009-10,-1348,
2009-11,-9980,
2009-12,-12752,
2010-01,-308,
2010-02,-6282,
2010-03,2653,
2010-04,-547,
2010-05,1737,
2010-06,-3338,
2010-07,-12196,
2010-08,-2394,
2010-09,2158,
2010-10,-4359,
2010-11,3060,
2010-12,-672,
2011-01,2250,
2011-02,62,
2011-03,-4625,
2011-04,2885,
2011-05,-3502,
2011-06,2029,
2011-07,-5921,
2011-08,-1212,
2011-09,-2407,
2011-10,2652,
2011-11,-3800,
2011-12,-4348,
2012-01,-22703,
2012-02,8200,
2012-03,-6174,
2012-04,2272,
2012-05,-6038,
2012-06,-1314,
2012-07,-2189,
2012-08,-2379,
2012-09,-1365,
2012-10,-3803,
2012-11,-5389,
2012-12,-10596,
2013-01,-4911,
2013-02,1381,
2013-03,-10837,
2013-04,-2595,
2013-05,-11492,
2013-06,-8679,
2013-07,-7552,
2013-08,-5093,
2013-09,3348,
2013-10,-562,
2013-11,-1300,
2013-12,-5650,
2014-01,-7170,
2014-02,200,
2014-03,-2750,
2014-04,-11967,
2014-05,10845,
2014-06,-3048,
2014-07,-665,
2014-08,-2842,
2014-09,-4454,
2014-10,1225,
2014-11,1451,
2014-12,-8111,
2015-01,1287,
