"",BBFN1.M.DE.N.1.A.PK.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.PK.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Pakistan,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:28:23,
1994-07,0.139,
1994-08,0.142,
1994-09,0.142,
1994-10,0.142,
1994-11,0.169,
1994-12,0.180,
1995-01,0.164,
1995-02,0.170,
1995-03,0.162,
1995-04,0.147,
1995-05,0.165,
1995-06,0.172,
1995-07,0.149,
1995-08,0.143,
1995-09,0.161,
1995-10,0.157,
1995-11,0.159,
1995-12,0.164,
1996-01,0.156,
1996-02,0.138,
1996-03,0.156,
1996-04,0.164,
1996-05,0.161,
1996-06,0.164,
1996-07,0.143,
1996-08,0.144,
1996-09,0.153,
1996-10,0.140,
1996-11,0.130,
1996-12,0.120,
1997-01,0.118,
1997-02,0.115,
1997-03,0.117,
1997-04,0.121,
1997-05,0.132,
1997-06,0.135,
1997-07,0.145,
1997-08,0.221,
1997-09,0.216,
1997-10,0.213,
1997-11,0.220,
1997-12,0.228,
1998-01,0.130,
1998-02,0.139,
1998-03,0.199,
1998-04,0.179,
1998-05,0.170,
1998-06,0.162,
1998-07,0.184,
1998-08,0.177,
1998-09,0.173,
1998-10,0.164,
1998-11,0.167,
1998-12,0.169,
1999-01,0.162,
1999-02,0.160,
1999-03,0.144,
1999-04,0.130,
1999-05,0.108,
1999-06,0.127,
1999-07,0.129,
1999-08,0.116,
1999-09,0.113,
1999-10,0.087,
1999-11,0.120,
1999-12,0.115,
2000-01,0.137,
2000-02,0.132,
2000-03,0.145,
2000-04,0.143,
2000-05,0.142,
2000-06,0.142,
2000-07,0.157,
2000-08,0.157,
2000-09,0.156,
2000-10,0.123,
2000-11,0.117,
2000-12,0.120,
2001-01,0.116,
2001-02,0.117,
2001-03,0.115,
2001-04,0.120,
2001-05,0.116,
2001-06,0.123,
2001-07,0.073,
2001-08,0.122,
2001-09,0.119,
2001-10,0.105,
2001-11,0.096,
2001-12,0.096,
2002-01,0.099,
2002-02,0.123,
2002-03,0.096,
2002-04,0.078,
2002-05,0.110,
2002-06,0.098,
2002-07,0.097,
2002-08,0.108,
2002-09,0.098,
2002-10,0.099,
2002-11,0.095,
2002-12,0.099,
2003-01,0.098,
2003-02,0.102,
2003-03,0.095,
2003-04,0.098,
2003-05,0.103,
2003-06,0.105,
2003-07,0.105,
2003-08,0.101,
2003-09,0.108,
2003-10,0.109,
2003-11,0.107,
2003-12,0.111,
2004-01,0.110,
2004-02,0.103,
2004-03,0.106,
2004-04,0.112,
2004-05,0.116,
2004-06,0.129,
2004-07,0.119,
2004-08,0.138,
2004-09,0.125,
2004-10,0.143,
2004-11,0.146,
2004-12,0.151,
2005-01,0.146,
2005-02,0.153,
2005-03,0.167,
2005-04,0.175,
2005-05,0.178,
2005-06,0.177,
2005-07,0.174,
2005-08,0.212,
2005-09,0.253,
2005-10,0.256,
2005-11,0.208,
2005-12,0.228,
2006-01,0.203,
2006-02,0.241,
2006-03,0.226,
2006-04,0.222,
2006-05,0.221,
2006-06,0.143,
2006-07,0.195,
2006-08,0.191,
2006-09,0.226,
2006-10,0.246,
2006-11,0.215,
2006-12,0.249,
2007-01,0.196,
2007-02,0.210,
2007-03,0.201,
2007-04,0.181,
2007-05,0.197,
2007-06,0.162,
2007-07,0.186,
2007-08,0.220,
2007-09,0.207,
2007-10,0.176,
2007-11,0.196,
2007-12,0.209,
2008-01,0.167,
2008-02,0.192,
2008-03,0.185,
2008-04,0.194,
2008-05,0.191,
2008-06,0.189,
2008-07,0.222,
2008-08,0.238,
2008-09,0.223,
2008-10,0.212,
2008-11,0.259,
2008-12,0.207,
2009-01,0.201,
2009-02,0.180,
2009-03,0.191,
2009-04,0.207,
2009-05,0.204,
2009-06,0.259,
2009-07,0.199,
2009-08,0.205,
2009-09,0.218,
2009-10,0.231,
2009-11,0.231,
2009-12,0.211,
2010-01,0.198,
2010-02,0.217,
2010-03,0.226,
2010-04,0.209,
2010-05,0.211,
2010-06,0.219,
2010-07,0.218,
2010-08,0.215,
2010-09,0.219,
2010-10,0.225,
2010-11,.,No value available
2010-12,0.227,
2011-01,0.214,
2011-02,0.224,
2011-03,.,No value available
2011-04,.,No value available
2011-05,.,No value available
2011-06,0.213,
2011-07,0.207,
2011-08,0.202,
2011-09,0.216,
2011-10,0.203,
2011-11,0.218,
2011-12,0.183,
2012-01,0.184,
2012-02,0.182,
2012-03,0.187,
2012-04,0.172,
2012-05,0.174,
2012-06,0.144,
2012-07,0.138,
2012-08,0.132,
2012-09,0.135,
2012-10,0.134,
2012-11,0.186,
2012-12,0.181,
2013-01,0.194,
2013-02,0.186,
2013-03,0.191,
2013-04,0.193,
2013-05,0.224,
2013-06,0.212,
2013-07,0.202,
2013-08,0.215,
2013-09,0.210,
2013-10,0.208,
2013-11,0.196,
2013-12,0.216,
2014-01,0.192,
2014-02,0.207,
2014-03,0.202,
2014-04,0.197,
2014-05,0.201,
2014-06,0.195,
2014-07,0.199,
2014-08,0.202,
2014-09,0.210,
2014-10,0.199,
2014-11,0.190,
2014-12,0.189,
