"",BBK01.OEAC33M,BBK01.OEAC33M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:08,
2002-01,0.104,
2002-04,0.102,
2002-07,0.079,
2002-10,0.083,
2003-01,0.106,
2003-04,0.118,
2003-07,0.122,
2003-10,0.133,
2004-01,0.135,
2004-04,0.139,
2004-07,0.140,
2004-10,0.134,
2005-01,0.143,
2005-04,0.143,
2005-07,0.151,
2005-10,0.132,
2006-01,0.137,
2006-04,0.139,
2006-07,0.137,
2006-10,0.140,
2007-01,0.146,
2007-04,0.141,
2007-07,0.128,
2007-10,0.130,
2008-01,0.124,
2008-04,0.118,
2008-07,0.119,
2008-10,0.141,
2009-01,0.213,
2009-04,0.198,
2009-07,0.241,
2009-10,0.249,
2010-01,0.295,
2010-04,0.313,
2010-07,0.366,
2010-10,0.344,
2011-01,0.398,
2011-04,0.460,
2011-07,0.472,
2011-10,0.509,
2012-01,0.508,
2012-04,0.519,
2012-07,0.526,
2012-10,0.587,
2013-01,0.594,
2013-04,0.550,
2013-07,0.449,
2013-10,0.472,
2014-01,0.439,
2014-04,0.382,
2014-07,0.360,
