"",BBK01.OEBJ02S,BBK01.OEBJ02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:14,
2002-01,0.586,
2002-04,0.658,
2002-07,0.661,
2002-10,0.673,
2003-01,0.627,
2003-04,0.636,
2003-07,0.657,
2003-10,0.749,
2004-01,0.657,
2004-04,0.716,
2004-07,0.750,
2004-10,0.833,
2005-01,0.946,
2005-04,0.815,
2005-07,0.833,
2005-10,0.946,
2006-01,0.824,
2006-04,0.904,
2006-07,0.910,
2006-10,1.108,
2007-01,0.988,
2007-04,0.850,
2007-07,0.789,
2007-10,0.929,
2008-01,0.795,
2008-04,0.790,
2008-07,0.796,
2008-10,0.977,
2009-01,1.173,
2009-04,1.277,
2009-07,1.342,
2009-10,1.522,
2010-01,1.447,
2010-04,1.491,
2010-07,1.495,
2010-10,1.726,
2011-01,1.491,
2011-04,1.457,
2011-07,1.483,
2011-10,1.396,
2012-01,1.294,
2012-04,1.250,
2012-07,1.303,
2012-10,1.436,
2013-01,1.333,
2013-04,1.381,
2013-07,1.467,
2013-10,1.568,
2014-01,1.434,
2014-04,1.473,
2014-07,1.594,
