"",BBK01.OEBI03J,BBK01.OEBI03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:26,
2002-01,1.364,
2002-04,1.322,
2002-07,1.225,
2002-10,1.205,
2003-01,1.172,
2003-04,1.164,
2003-07,1.073,
2003-10,1.002,
2004-01,0.987,
2004-04,0.832,
2004-07,0.849,
2004-10,0.866,
2005-01,0.889,
2005-04,0.836,
2005-07,0.848,
2005-10,1.112,
2006-01,1.057,
2006-04,0.966,
2006-07,0.991,
2006-10,1.074,
2007-01,1.097,
2007-04,1.089,
2007-07,1.429,
2007-10,1.769,
2008-01,1.753,
2008-04,1.914,
2008-07,2.174,
2008-10,2.298,
2009-01,2.063,
2009-04,1.795,
2009-07,1.669,
2009-10,1.685,
2010-01,1.566,
2010-04,1.388,
2010-07,1.418,
2010-10,1.455,
2011-01,1.467,
2011-04,1.373,
2011-07,1.506,
2011-10,1.435,
2012-01,1.469,
2012-04,6.373,
2012-07,6.030,
2012-10,5.567,
2013-01,5.254,
2013-04,3.646,
2013-07,2.776,
2013-10,2.619,
2014-01,1.727,
2014-04,1.753,
2014-07,1.740,
